"","Entry","Group","Length","topMotifSum","canoSum","phosSum","KSum"
"66","B7ZBB8","canon",358,1,1,0,0
"67","C9J3V5","canon",150,1,1,0,0
"68","C9JC47","canon",383,1,1,0,0
"69","C9JG80","canon",1138,1,1,0,0
"70","D6REC4","canon",459,3,3,0,0
"71","D6RGH6","canon",385,1,1,0,0
"72","E5RG02","canon",174,1,1,0,0
"73","E5RHQ5","canon",1161,1,1,0,0
"74","E9PGG2","canon",379,1,1,0,0
"75","E9PJ23","canon",425,1,1,0,0
"76","E9PQR5","canon",432,1,1,0,0
"77","F2Z3F1","canon",127,1,1,0,0
"78","F5GYI3","canon",381,1,1,0,0
"79","F8W1W9","canon",429,1,1,0,0
"80","H0YKK7","canon",550,14,14,0,0
"81","H3BNL1","canon",204,1,1,0,0
"82","I3L3R5","canon",266,2,2,0,0
"83","M5A8F1","canon",160,1,1,0,0
"84","O00116","canon",658,1,1,0,0
"85","O00194","canon",218,1,1,0,0
"86","O00220","canon",468,1,1,0,0
"87","O00391","canon",747,1,1,0,0
"88","O00445","canon",386,1,1,0,0
"89","O00512","canon",1426,2,2,0,0
"90","O00548","canon",723,1,1,0,0
"91","O14558","canon",160,1,1,0,0
"92","O14561","canon",156,1,1,0,0
"93","O14645","canon",258,2,2,0,0
"94","O14649","canon",394,4,4,0,0
"95","O14662","canon",325,1,1,0,0
"96","O14756","canon",317,1,1,0,0
"97","O14813","canon",284,1,1,0,0
"98","O14817","canon",238,1,1,0,0
"99","O14836","canon",293,1,1,0,0
"100","O14948","canon",347,2,2,0,0
"101","O14966","canon",203,1,1,0,0
"102","O15063","canon",1070,3,3,0,0
"103","O15156","canon",539,1,1,0,0
"104","O15212","canon",129,1,1,0,0
"105","O15240","canon",615,2,2,0,0
"106","O15244","canon",555,1,1,0,0
"107","O15372","canon",352,1,1,0,0
"108","O15382","canon",392,2,2,0,0
"109","O15442","canon",326,1,1,0,0
"110","O15498","canon",198,1,1,0,0
"111","O15523","canon",660,2,2,0,0
"112","O15547","canon",441,1,1,0,0
"113","O43252","canon",624,4,4,0,0
"114","O43255","canon",324,1,1,0,0
"115","O43294","canon",461,3,3,0,0
"116","O43304","canon",696,1,1,0,0
"117","O43316","canon",350,1,1,0,0
"118","O43320","canon",207,1,1,0,0
"119","O43414","canon",337,1,1,0,0
"120","O43448","canon",404,3,3,0,0
"121","O43502","canon",376,1,1,0,0
"122","O43521","canon",198,1,1,0,0
"123","O43570","canon",354,1,1,0,0
"124","O43613","canon",425,1,1,0,0
"125","O43670","canon",478,1,1,0,0
"126","O43688","canon",288,1,1,0,0
"127","O43699","canon",453,2,2,0,0
"128","O43734","canon",574,1,1,0,0
"129","O43745","canon",196,1,1,0,0
"130","O43752","canon",255,1,1,0,0
"131","O43818","canon",475,1,1,0,0
"132","O43869","canon",369,1,1,0,0
"133","O43916","canon",411,1,1,0,0
"134","O60216","canon",631,1,1,0,0
"135","O60291","canon",552,1,1,0,0
"136","O60294","canon",686,1,1,0,0
"137","O60337","canon",910,1,1,0,0
"138","O60361","canon",137,1,1,0,0
"139","O60487","canon",215,1,1,0,0
"140","O60496","canon",412,2,2,0,0
"141","O60499","canon",249,1,1,0,0
"142","O60504","canon",671,1,1,0,0
"143","O60563","canon",726,1,1,0,0
"144","O60664","canon",434,2,2,0,0
"145","O60669","canon",478,1,1,0,0
"146","O60671","canon",282,2,2,0,0
"147","O60711","canon",386,1,1,0,0
"148","O60806","canon",448,1,1,0,0
"149","O60826","canon",627,1,1,0,0
"150","O75030","canon",526,1,1,0,0
"151","O75064","canon",1496,1,1,0,0
"152","O75072","canon",461,1,1,0,0
"153","O75157","canon",780,2,2,0,0
"154","O75200","canon",414,1,1,0,0
"155","O75208","canon",318,1,1,0,0
"156","O75340","canon",191,2,2,0,0
"157","O75346","canon",499,3,3,0,0
"158","O75409","canon",117,1,1,0,0
"159","O75425","canon",235,1,1,0,0
"160","O75426","canon",580,1,1,0,0
"161","O75438","canon",58,2,2,0,0
"162","O75460","canon",977,3,3,0,0
"163","O75525","canon",346,1,1,0,0
"164","O75553","canon",588,2,2,0,0
"165","O75556","canon",95,1,1,0,0
"166","O75558","canon",287,2,2,0,0
"167","O75618","canon",318,1,1,0,0
"168","O75688","canon",479,1,1,0,0
"169","O75752","canon",331,1,1,0,0
"170","O75783","canon",438,1,1,0,0
"171","O75792","canon",299,2,2,0,0
"172","O75808","canon",1086,1,1,0,0
"173","O75817","canon",140,1,1,0,0
"174","O75871","canon",244,1,1,0,0
"175","O75908","canon",522,1,1,0,0
"176","O76081","canon",388,1,1,0,0
"177","O76090","canon",585,1,1,0,0
"178","O94760","canon",285,1,1,0,0
"179","O94763","canon",535,1,1,0,0
"180","O94778","canon",261,1,1,0,0
"181","O94782","canon",785,1,1,0,0
"182","O94818","canon",638,3,3,0,0
"183","O94819","canon",623,1,1,0,0
"184","O95072","canon",547,1,1,0,0
"185","O95076","canon",343,1,1,0,0
"186","O95196","canon",566,1,1,0,0
"187","O95198","canon",593,2,2,0,0
"188","O95201","canon",554,1,1,0,0
"189","O95222","canon",327,1,1,0,0
"190","O95249","canon",250,2,2,0,0
"191","O95295","canon",136,2,2,0,0
"192","O95460","canon",622,1,1,0,0
"193","O95479","canon",791,3,3,0,0
"194","O95486","canon",1093,3,3,0,0
"195","O95571","canon",254,1,1,0,0
"196","O95707","canon",220,1,1,0,0
"197","O95822","canon",493,1,1,0,0
"198","O95859","canon",305,1,1,0,0
"199","O95861","canon",308,2,2,0,0
"200","O95872","canon",356,1,1,0,0
"201","O95897","canon",454,1,1,0,0
"202","O95907","canon",504,1,1,0,0
"203","O95925","canon",133,1,1,0,0
"204","O95990","canon",144,2,2,0,0
"205","O95997","canon",202,1,1,0,0
"206","O96018","canon",575,1,1,0,0
"207","P00167","canon",134,1,1,0,0
"208","P00519","canon",1130,1,1,0,0
"209","P00746","canon",253,1,1,0,0
"210","P00750","canon",562,1,1,0,0
"211","P01011","canon",423,1,1,0,0
"212","P01185","canon",164,1,1,0,0
"213","P01189","canon",267,1,1,0,0
"214","P01210","canon",267,1,1,0,0
"215","P01562","canon",189,1,1,0,0
"216","P01614","canon",121,1,1,0,0
"217","P01909","canon",254,1,1,0,0
"218","P01911","canon",266,1,1,0,0
"219","P01912","canon",266,1,1,0,0
"220","P01920","canon",261,3,3,0,0
"221","P02042","canon",147,1,1,0,0
"222","P02647","canon",267,1,1,0,0
"223","P02649","canon",317,1,1,0,0
"224","P02749","canon",345,1,1,0,0
"225","P02760","canon",352,1,1,0,0
"226","P02774","canon",474,2,2,0,0
"227","P02794","canon",183,1,1,0,0
"228","P04003","canon",597,1,1,0,0
"229","P04070","canon",461,1,1,0,0
"230","P04083","canon",346,1,1,0,0
"231","P04090","canon",185,1,1,0,0
"232","P04196","canon",525,1,1,0,0
"233","P04229","canon",266,3,3,0,0
"234","P04233","canon",296,1,1,0,0
"235","P04279","canon",462,1,1,0,0
"236","P04792","canon",205,1,1,0,0
"237","P04798","canon",512,1,1,0,0
"238","P05019","canon",195,1,1,0,0
"239","P05114","canon",100,1,1,0,0
"240","P05120","canon",415,1,1,0,0
"241","P05165","canon",728,1,1,0,0
"242","P05496","canon",136,1,1,0,0
"243","P06241","canon",537,1,1,0,0
"244","P06280","canon",429,1,1,0,0
"245","P06858","canon",475,1,1,0,0
"246","P06881","canon",128,1,1,0,0
"247","P07307","canon",311,1,1,0,0
"248","P07498","canon",182,1,1,0,0
"249","P07686","canon",556,2,2,0,0
"250","P07988","canon",381,1,1,0,0
"251","P07992","canon",297,1,1,0,0
"252","P08246","canon",267,1,1,0,0
"253","P08476","canon",426,3,3,0,0
"254","P08493","canon",103,1,1,0,0
"255","P08697","canon",491,1,1,0,0
"256","P08779","canon",473,1,1,0,0
"257","P08910","canon",425,1,1,0,0
"258","P09105","canon",142,1,1,0,0
"259","P09132","canon",144,1,1,0,0
"260","P09455","canon",135,1,1,0,0
"261","P09466","canon",180,1,1,0,0
"262","P09919","canon",207,1,1,0,0
"263","P0C025","canon",328,1,1,0,0
"264","P0C264","canon",359,1,1,0,0
"265","P0C629","canon",311,1,1,0,0
"266","P0C7A2","canon",387,1,1,0,0
"267","P0C7I6","canon",412,1,1,0,0
"268","P0C7M3","canon",94,2,2,0,0
"269","P0C7P1","canon",496,1,1,0,0
"270","P0C7Q3","canon",252,1,1,0,0
"271","P0C7T3","canon",313,1,1,0,0
"272","P0C7U1","canon",165,1,1,0,0
"273","P0CAT3","canon",122,1,1,0,0
"274","P0CG29","canon",244,1,1,0,0
"275","P0CG30","canon",244,1,1,0,0
"276","P0CG32","canon",403,1,1,0,0
"277","P0CG42","canon",384,1,1,0,0
"278","P0CG43","canon",387,1,1,0,0
"279","P0CI25","canon",452,1,1,0,0
"280","P0CI26","canon",452,1,1,0,0
"281","P0CV98","canon",308,1,1,0,0
"282","P0CV99","canon",314,1,1,0,0
"283","P0CW00","canon",308,1,1,0,0
"284","P0CW01","canon",314,1,1,0,0
"285","P0CW23","canon",69,1,1,0,0
"286","P0DI81","canon",140,1,1,0,0
"287","P0DI82","canon",140,1,1,0,0
"288","P0DJD3","canon",496,1,1,0,0
"289","P0DJD4","canon",496,1,1,0,0
"290","P0DME0","canon",302,1,1,0,0
"291","P0DMM9","canon",295,2,2,0,0
"292","P0DMN0","canon",295,2,2,0,0
"293","P0DMW4","canon",78,1,1,0,0
"294","P0DMW5","canon",78,1,1,0,0
"295","P10073","canon",491,2,2,0,0
"296","P10092","canon",127,1,1,0,0
"297","P10114","canon",183,1,1,0,0
"298","P10265","canon",156,1,1,0,0
"299","P10321","canon",366,1,1,0,0
"300","P10588","canon",404,1,1,0,0
"301","P10643","canon",843,2,2,0,0
"302","P10768","canon",282,1,1,0,0
"303","P11150","canon",499,1,1,0,0
"304","P11166","canon",492,1,1,0,0
"305","P11465","canon",335,1,1,0,0
"306","P12272","canon",177,1,1,0,0
"307","P12643","canon",396,2,2,0,0
"308","P12980","canon",280,1,1,0,0
"309","P13056","canon",603,2,2,0,0
"310","P13349","canon",255,2,2,0,0
"311","P13473","canon",410,1,1,0,0
"312","P13686","canon",325,1,1,0,0
"313","P13761","canon",266,2,2,0,0
"314","P13762","canon",266,2,2,0,0
"315","P13798","canon",732,1,1,0,0
"316","P13807","canon",737,1,1,0,0
"317","P13942","canon",1736,1,1,0,0
"318","P14091","canon",401,1,1,0,0
"319","P14136","canon",432,4,4,0,0
"320","P14151","canon",372,1,1,0,0
"321","P14324","canon",419,1,1,0,0
"322","P14920","canon",347,2,2,0,0
"323","P15018","canon",202,1,1,0,0
"324","P15121","canon",316,4,4,0,0
"325","P15172","canon",320,1,1,0,0
"326","P15173","canon",224,1,1,0,0
"327","P15291","canon",398,1,1,0,0
"328","P15407","canon",271,1,1,0,0
"329","P15531","canon",152,1,1,0,0
"330","P15538","canon",503,1,1,0,0
"331","P15813","canon",335,1,1,0,0
"332","P16189","canon",365,1,1,0,0
"333","P16190","canon",365,1,1,0,0
"334","P17025","canon",639,1,1,0,0
"335","P17029","canon",563,1,1,0,0
"336","P17050","canon",411,1,1,0,0
"337","P17081","canon",205,1,1,0,0
"338","P17482","canon",250,1,1,0,0
"339","P17661","canon",470,4,4,0,0
"340","P17752","canon",444,1,1,0,0
"341","P18085","canon",180,2,2,0,0
"342","P18089","canon",447,1,1,0,0
"343","P18509","canon",176,1,1,0,0
"344","P18564","canon",788,3,3,0,0
"345","P18627","canon",525,1,1,0,0
"346","P18825","canon",462,1,1,0,0
"347","P19099","canon",503,1,1,0,0
"348","P19235","canon",508,1,1,0,0
"349","P19256","canon",250,1,1,0,0
"350","P19387","canon",275,2,2,0,0
"351","P19447","canon",782,1,1,0,0
"352","P19484","canon",476,2,2,0,0
"353","P19526","canon",365,1,1,0,0
"354","P19793","canon",462,1,1,0,0
"355","P20039","canon",266,1,1,0,0
"356","P20248","canon",432,1,1,0,0
"357","P20339","canon",215,1,1,0,0
"358","P20718","canon",246,1,1,0,0
"359","P20800","canon",178,1,1,0,0
"360","P20809","canon",199,1,1,0,0
"361","P20827","canon",205,1,1,0,0
"362","P21281","canon",511,1,1,0,0
"363","P21462","canon",350,1,1,0,0
"364","P21695","canon",349,1,1,0,0
"365","P21728","canon",446,1,1,0,0
"366","P22352","canon",226,1,1,0,0
"367","P22392","canon",152,1,1,0,0
"368","P22888","canon",699,1,1,0,0
"369","P22897","canon",1456,2,2,0,0
"370","P23409","canon",242,1,1,0,0
"371","P24530","canon",442,1,1,0,0
"372","P25089","canon",353,1,1,0,0
"373","P25116","canon",425,1,1,0,0
"374","P25398","canon",132,2,2,0,0
"375","P25874","canon",307,1,1,0,0
"376","P26010","canon",798,1,1,0,0
"377","P26022","canon",381,1,1,0,0
"378","P26572","canon",445,2,2,0,0
"379","P26951","canon",378,1,1,0,0
"380","P27037","canon",513,1,1,0,0
"381","P27169","canon",355,1,1,0,0
"382","P27216","canon",316,1,1,0,0
"383","P27348","canon",245,3,3,0,0
"384","P27469","canon",103,1,1,0,0
"385","P27540","canon",789,2,2,0,0
"386","P28347","canon",426,3,3,0,0
"387","P29120","canon",753,1,1,0,0
"388","P29279","canon",349,1,1,0,0
"389","P29373","canon",138,1,1,0,0
"390","P29376","canon",864,2,2,0,0
"391","P29459","canon",219,1,1,0,0
"392","P29558","canon",406,1,1,0,0
"393","P30046","canon",118,1,1,0,0
"394","P30049","canon",168,1,1,0,0
"395","P30279","canon",289,2,2,0,0
"396","P30486","canon",362,1,1,0,0
"397","P30501","canon",366,1,1,0,0
"398","P30520","canon",456,1,1,0,0
"399","P30711","canon",240,1,1,0,0
"400","P30837","canon",517,1,1,0,0
"401","P31350","canon",389,1,1,0,0
"402","P31371","canon",208,1,1,0,0
"403","P31785","canon",369,1,1,0,0
"404","P31937","canon",336,1,1,0,0
"405","P31946","canon",246,1,1,0,0
"406","P32189","canon",559,2,2,0,0
"407","P32245","canon",332,1,1,0,0
"408","P33240","canon",577,2,2,0,0
"409","P33764","canon",101,1,1,0,0
"410","P34910","canon",448,1,1,0,0
"411","P35212","canon",333,2,2,0,0
"412","P35236","canon",360,1,1,0,0
"413","P35244","canon",121,1,1,0,0
"414","P35346","canon",364,1,1,0,0
"415","P35638","canon",169,1,1,0,0
"416","P35712","canon",828,1,1,0,0
"417","P35913","canon",854,2,2,0,0
"418","P35914","canon",325,1,1,0,0
"419","P36406","canon",574,1,1,0,0
"420","P36873","canon",323,1,1,0,0
"421","P36956","canon",1147,2,2,0,0
"422","P37059","canon",387,1,1,0,0
"423","P37802","canon",199,2,2,0,0
"424","P37840","canon",140,1,1,0,0
"425","P38159","canon",391,1,1,0,0
"426","P39019","canon",145,1,1,0,0
"427","P40261","canon",264,1,1,0,0
"428","P40424","canon",430,1,1,0,0
"429","P40425","canon",430,1,1,0,0
"430","P40426","canon",434,1,1,0,0
"431","P40855","canon",299,2,2,0,0
"432","P40933","canon",162,1,1,0,0
"433","P41134","canon",155,1,1,0,0
"434","P41146","canon",370,1,1,0,0
"435","P41273","canon",254,2,2,0,0
"436","P42575","canon",452,1,1,0,0
"437","P42658","canon",865,1,1,0,0
"438","P42766","canon",123,1,1,0,0
"439","P42768","canon",502,1,1,0,0
"440","P42772","canon",138,1,1,0,0
"441","P42830","canon",114,1,1,0,0
"442","P43004","canon",574,1,1,0,0
"443","P43489","canon",277,1,1,0,0
"444","P46098","canon",478,1,1,0,0
"445","P46781","canon",194,2,2,0,0
"446","P46952","canon",286,2,2,0,0
"447","P47874","canon",163,1,1,0,0
"448","P47900","canon",373,1,1,0,0
"449","P47972","canon",431,1,1,0,0
"450","P48443","canon",463,1,1,0,0
"451","P48643","canon",541,2,2,0,0
"452","P48723","canon",471,2,2,0,0
"453","P48775","canon",406,2,2,0,0
"454","P48788","canon",182,3,3,0,0
"455","P49023","canon",591,1,1,0,0
"456","P49116","canon",596,3,3,0,0
"457","P49221","canon",684,2,2,0,0
"458","P49418","canon",695,6,6,0,0
"459","P49419","canon",539,2,2,0,0
"460","P49441","canon",399,2,2,0,0
"461","P49716","canon",269,1,1,0,0
"462","P49748","canon",655,1,1,0,0
"463","P50221","canon",254,1,1,0,0
"464","P50222","canon",304,1,1,0,0
"465","P50225","canon",295,2,2,0,0
"466","P50226","canon",295,2,2,0,0
"467","P50416","canon",773,1,1,0,0
"468","P50454","canon",418,1,1,0,0
"469","P50461","canon",194,1,1,0,0
"470","P50607","canon",506,2,2,0,0
"471","P50895","canon",628,1,1,0,0
"472","P50990","canon",548,1,1,0,0
"473","P51003","canon",745,1,1,0,0
"474","P51148","canon",216,1,1,0,0
"475","P51153","canon",203,1,1,0,0
"476","P51159","canon",221,1,1,0,0
"477","P51460","canon",131,1,1,0,0
"478","P51512","canon",607,1,1,0,0
"479","P51523","canon",738,2,2,0,0
"480","P51570","canon",392,1,1,0,0
"481","P51648","canon",485,1,1,0,0
"482","P51649","canon",535,1,1,0,0
"483","P51674","canon",278,1,1,0,0
"484","P51693","canon",650,4,4,0,0
"485","P51809","canon",220,1,1,0,0
"486","P51810","canon",404,1,1,0,0
"487","P51911","canon",297,1,1,0,0
"488","P51970","canon",172,1,1,0,0
"489","P53041","canon",499,1,1,0,0
"490","P53609","canon",377,1,1,0,0
"491","P53611","canon",331,1,1,0,0
"492","P53634","canon",463,1,1,0,0
"493","P53778","canon",367,1,1,0,0
"494","P54108","canon",245,2,2,0,0
"495","P54284","canon",484,2,2,0,0
"496","P54317","canon",469,1,1,0,0
"497","P54760","canon",987,1,1,0,0
"498","P54821","canon",245,1,1,0,0
"499","P54886","canon",795,3,3,0,0
"500","P55040","canon",296,1,1,0,0
"501","P55042","canon",308,1,1,0,0
"502","P55055","canon",460,1,1,0,0
"503","P55103","canon",352,1,1,0,0
"504","P55273","canon",166,2,2,0,0
"505","P56277","canon",68,1,1,0,0
"506","P56279","canon",114,1,1,0,0
"507","P56537","canon",245,1,1,0,0
"508","P56539","canon",151,1,1,0,0
"509","P56747","canon",220,1,1,0,0
"510","P56748","canon",225,1,1,0,0
"511","P56749","canon",244,1,1,0,0
"512","P56750","canon",224,1,1,0,0
"513","P57086","canon",179,1,1,0,0
"514","P57727","canon",454,1,1,0,0
"515","P57768","canon",344,2,2,0,0
"516","P58182","canon",307,1,1,0,0
"517","P58215","canon",753,2,2,0,0
"518","P58335","canon",489,1,1,0,0
"519","P58340","canon",268,1,1,0,0
"520","P58557","canon",167,1,1,0,0
"521","P59091","canon",139,1,1,0,0
"522","P59773","canon",190,2,2,0,0
"523","P59827","canon",614,1,1,0,0
"524","P59942","canon",119,2,2,0,0
"525","P60033","canon",236,1,1,0,0
"526","P60059","canon",68,2,2,0,0
"527","P60673","canon",137,1,1,0,0
"528","P60880","canon",206,2,2,0,0
"529","P60953","canon",191,1,1,0,0
"530","P61006","canon",207,1,1,0,0
"531","P61020","canon",215,1,1,0,0
"532","P61073","canon",352,1,1,0,0
"533","P61158","canon",418,2,2,0,0
"534","P61204","canon",181,1,1,0,0
"535","P61224","canon",184,1,1,0,0
"536","P61225","canon",183,1,1,0,0
"537","P61244","canon",160,2,2,0,0
"538","P61278","canon",116,1,1,0,0
"539","P61296","canon",217,1,1,0,0
"540","P61981","canon",247,1,1,0,0
"541","P62244","canon",130,2,2,0,0
"542","P62258","canon",255,1,1,0,0
"543","P62324","canon",171,1,1,0,0
"544","P62330","canon",175,1,1,0,0
"545","P62841","canon",145,1,1,0,0
"546","P62857","canon",69,1,1,0,0
"547","P62913","canon",178,1,1,0,0
"548","P62942","canon",108,1,1,0,0
"549","P63104","canon",245,1,1,0,0
"550","P63119","canon",156,1,1,0,0
"551","P63120","canon",156,1,1,0,0
"552","P63121","canon",156,1,1,0,0
"553","P63122","canon",156,1,1,0,0
"554","P63123","canon",156,1,1,0,0
"555","P63125","canon",156,1,1,0,0
"556","P63127","canon",156,1,1,0,0
"557","P63129","canon",156,1,1,0,0
"558","P63131","canon",156,1,1,0,0
"559","P68106","canon",108,1,1,0,0
"560","P68871","canon",147,1,1,0,0
"561","P69891","canon",147,1,1,0,0
"562","P69892","canon",147,1,1,0,0
"563","P80162","canon",114,1,1,0,0
"564","P80217","canon",286,1,1,0,0
"565","P83105","canon",476,1,1,0,0
"566","P84077","canon",181,1,1,0,0
"567","P84085","canon",180,2,2,0,0
"568","P98153","canon",550,2,2,0,0
"569","P98179","canon",157,1,1,0,0
"570","Q00839","canon",825,2,2,0,0
"571","Q00987","canon",491,2,2,0,0
"572","Q01064","canon",536,2,2,0,0
"573","Q01105","canon",290,1,1,0,0
"574","Q01201","canon",579,1,1,0,0
"575","Q01362","canon",244,2,2,0,0
"576","Q01534","canon",308,1,1,0,0
"577","Q01658","canon",176,2,2,0,0
"578","Q01726","canon",317,1,1,0,0
"579","Q01844","canon",656,1,1,0,0
"580","Q02383","canon",582,2,2,0,0
"581","Q02535","canon",119,1,1,0,0
"582","Q02543","canon",176,1,1,0,0
"583","Q02575","canon",133,1,1,0,0
"584","Q02750","canon",393,3,3,0,0
"585","Q04671","canon",838,1,1,0,0
"586","Q05066","canon",204,1,1,0,0
"587","Q05932","canon",587,1,1,0,0
"588","Q06520","canon",285,1,1,0,0
"589","Q06587","canon",406,2,2,0,0
"590","Q06732","canon",778,1,1,0,0
"591","Q06830","canon",199,1,1,0,0
"592","Q06889","canon",387,1,1,0,0
"593","Q07092","canon",1604,1,1,0,0
"594","Q08E93","canon",113,2,2,0,0
"595","Q08J23","canon",767,2,2,0,0
"596","Q0D2K0","canon",466,2,2,0,0
"597","Q0D2K5","canon",195,1,1,0,0
"598","Q0P670","canon",501,2,2,0,0
"599","Q0P6D2","canon",419,1,1,0,0
"600","Q0PNE2","canon",266,1,1,0,0
"601","Q0VAM2","canon",473,1,1,0,0
"602","Q0VD83","canon",1088,1,1,0,0
"603","Q0VDI3","canon",215,1,1,0,0
"604","Q10589","canon",180,1,1,0,0
"605","Q12800","canon",502,1,1,0,0
"606","Q13105","canon",803,1,1,0,0
"607","Q13133","canon",447,3,3,0,0
"608","Q13202","canon",625,1,1,0,0
"609","Q13296","canon",93,1,1,0,0
"610","Q13326","canon",291,1,1,0,0
"611","Q13336","canon",389,1,1,0,0
"612","Q13387","canon",824,1,1,0,0
"613","Q13404","canon",147,1,1,0,0
"614","Q13424","canon",505,1,1,0,0
"615","Q13426","canon",336,1,1,0,0
"616","Q13443","canon",819,1,1,0,0
"617","Q13491","canon",265,1,1,0,0
"618","Q13508","canon",389,1,1,0,0
"619","Q13530","canon",473,1,1,0,0
"620","Q13607","canon",317,1,1,0,0
"621","Q13610","canon",501,2,2,0,0
"622","Q13882","canon",451,1,1,0,0
"623","Q14019","canon",142,1,1,0,0
"624","Q14050","canon",684,1,1,0,0
"625","Q14153","canon",422,1,1,0,0
"626","Q14168","canon",576,3,3,0,0
"627","Q14181","canon",598,1,1,0,0
"628","Q14197","canon",206,2,2,0,0
"629","Q14247","canon",550,1,1,0,0
"630","Q14318","canon",412,1,1,0,0
"631","Q14353","canon",236,1,1,0,0
"632","Q14376","canon",348,1,1,0,0
"633","Q14409","canon",553,2,2,0,0
"634","Q14410","canon",553,1,1,0,0
"635","Q14500","canon",433,1,1,0,0
"636","Q14641","canon",139,1,1,0,0
"637","Q14749","canon",295,1,1,0,0
"638","Q14956","canon",572,1,1,0,0
"639","Q14CB8","canon",494,2,2,0,0
"640","Q15006","canon",297,3,3,0,0
"641","Q15007","canon",396,1,1,0,0
"642","Q15054","canon",466,2,2,0,0
"643","Q15070","canon",435,1,1,0,0
"644","Q15181","canon",289,1,1,0,0
"645","Q15286","canon",201,1,1,0,0
"646","Q15399","canon",786,2,2,0,0
"647","Q15415","canon",496,1,1,0,0
"648","Q15434","canon",407,1,1,0,0
"649","Q15485","canon",313,1,1,0,0
"650","Q15506","canon",151,1,1,0,0
"651","Q15561","canon",434,3,3,0,0
"652","Q15569","canon",626,1,1,0,0
"653","Q15583","canon",401,1,1,0,0
"654","Q15628","canon",312,2,2,0,0
"655","Q15629","canon",374,1,1,0,0
"656","Q15699","canon",326,1,1,0,0
"657","Q15714","canon",1073,2,2,0,0
"658","Q15744","canon",281,1,1,0,0
"659","Q15777","canon",294,1,1,0,0
"660","Q15819","canon",145,1,1,0,0
"661","Q15828","canon",149,1,1,0,0
"662","Q15833","canon",593,1,1,0,0
"663","Q15929","canon",161,1,1,0,0
"664","Q15935","canon",545,1,1,0,0
"665","Q16082","canon",182,1,1,0,0
"666","Q16186","canon",407,1,1,0,0
"667","Q16352","canon",499,1,1,0,0
"668","Q16401","canon",504,4,4,0,0
"669","Q16537","canon",467,1,1,0,0
"670","Q16549","canon",785,2,2,0,0
"671","Q16555","canon",572,2,2,0,0
"672","Q16647","canon",500,2,2,0,0
"673","Q16671","canon",573,1,1,0,0
