"","Entry","Status","Length"
"133","Q07912","reviewed",1038
"134","O00590","reviewed",384
"135","P25106","reviewed",362
"136","Q5JWF8","reviewed",245
"137","P08912","reviewed",532
"138","Q8N9L9","reviewed",421
"139","Q9Y305","reviewed",439
"140","Q15067","reviewed",660
"141","Q6ZNF0","reviewed",438
"142","P16190","reviewed",365
"143","P30456","reviewed",365
"144","P10316","reviewed",365
"145","Q15172","reviewed",486
"146","Q00005","reviewed",443
"147","P04229","reviewed",266
"148","P13761","reviewed",266
"149","Q30167","reviewed",266
"150","Q9Y3L3","reviewed",701
"151","P46952","reviewed",286
"152","P29372","reviewed",298
"153","Q13542","reviewed",120
"154","P08195","reviewed",630
"155","P30939","reviewed",366
"156","P50406","reviewed",440
"157","Q676U5","reviewed",607
"158","P19652","reviewed",201
"159","P01009","reviewed",418
"160","Q4UJ75","reviewed",823
"161","P01011","reviewed",423
"162","Q13085","reviewed",2346
"163","Q9UKU7","reviewed",415
"164","P45954","reviewed",432
"165","Q04917","reviewed",246
"166","P61981","reviewed",247
"167","P16189","reviewed",365
"168","P30455","reviewed",365
"169","Q09160","reviewed",365
"170","P30685","reviewed",362
"171","P30475","reviewed",362
"172","P30479","reviewed",362
"173","P30480","reviewed",362
"174","P30481","reviewed",362
"175","P30495","reviewed",362
"176","P18465","reviewed",362
"177","P10319","reviewed",362
"178","Q31612","reviewed",363
"179","Q29718","reviewed",362
"180","P30499","reviewed",366
"181","P30501","reviewed",366
"182","P04222","reviewed",366
"183","P30510","reviewed",366
"184","Q07000","reviewed",366
"185","Q29865","reviewed",366
"186","Q14738","reviewed",602
"187","P30153","reviewed",589
"188","Q9H2F3","reviewed",369
"189","O60239","reviewed",455
"190","P31937","reviewed",336
"191","P28222","reviewed",390
"192","P46098","reviewed",478
"193","A5X5Y0","reviewed",456
"194","Q13639","reviewed",388
"195","P34969","reviewed",479
"196","Q9BXI3","reviewed",368
"197","O95336","reviewed",258
"198","P0DMS8","reviewed",318
"199","Q7RTV5","reviewed",226
"200","Q9NUT2","reviewed",735
"201","Q9NP78","reviewed",766
"202","Q9UBJ2","reviewed",740
"203","P28288","reviewed",659
"204","Q9UG63","reviewed",623
"205","Q0P651","reviewed",414
"206","Q96SE0","reviewed",405
"207","Q8WU67","reviewed",409
"208","Q8IZP0","reviewed",508
"209","Q9P2A4","reviewed",366
"210","P42684","reviewed",1182
"211","Q969K4","reviewed",478
"212","P08908","reviewed",422
"213","P28335","reviewed",458
"214","O95264","reviewed",441
"215","Q8WXA8","reviewed",447
"216","Q70Z44","reviewed",454
"217","P56378","reviewed",58
"218","P05408","reviewed",212
"219","P0DKL9","reviewed",152
"220","Q5VUR7","reviewed",823
"221","Q4W5N1","reviewed",156
"222","Q86UQ4","reviewed",5058
"223","Q2M3G0","reviewed",1257
"224","Q9NP58","reviewed",842
"225","Q9NRK6","reviewed",738
"226","O95342","reviewed",1321
"227","Q09428","reviewed",1581
"228","Q9NSE7","reviewed",274
"229","P33897","reviewed",745
"230","P61221","reviewed",599
"231","Q9H172","reviewed",646
"232","Q9H222","reviewed",651
"233","P41238","reviewed",236
"234","Q6UXT9","reviewed",468
"235","Q8TB40","reviewed",342
"236","Q9BV23","reviewed",337
"237","Q96I13","reviewed",439
"238","Q7L211","reviewed",337
"239","P00519","reviewed",1130
"240","Q9ULW3","reviewed",272
"241","Q8N961","reviewed",1025
"242","P28330","reviewed",430
"243","P11310","reviewed",421
"244","P28221","reviewed",377
"245","P41595","reviewed",481
"246","Q969T7","reviewed",300
"247","P36639","reviewed",197
"248","Q8IZ83","reviewed",802
"249","P20848","reviewed",420
"250","P04217","reviewed",495
"251","Q9NQ94","reviewed",594
"252","Q5TYW2","reviewed",823
"253","P08697","reviewed",491
"254","Q96GX2","reviewed",97
"255","Q6PD74","reviewed",315
"256","Q2M2I8","reviewed",961
"257","O43741","reviewed",272
"258","P17174","reviewed",413
"259","Q96GS6","reviewed",310
"260","Q5VST6","reviewed",288
"261","Q9BZC7","reviewed",2435
"262","Q99758","reviewed",1704
"263","P78363","reviewed",2273
"264","O94911","reviewed",1581
"265","Q8WWZ4","reviewed",1543
"266","Q8WW27","reviewed",367
"267","Q15822","reviewed",529
"268","P43681","reviewed",627
"269","Q15825","reviewed",494
"270","Q9UGM1","reviewed",479
"271","P53396","reviewed",1101
"272","P11229","reviewed",460
"273","P63104","reviewed",245
"274","P30443","reviewed",365
"275","P01892","reviewed",365
"276","P13746","reviewed",365
"277","Q4AC99","reviewed",568
"278","P30450","reviewed",365
"279","P30460","reviewed",362
"280","P30462","reviewed",362
"281","P30466","reviewed",362
"282","P30484","reviewed",362
"283","P30485","reviewed",362
"284","P30486","reviewed",362
"285","P30488","reviewed",362
"286","P18464","reviewed",362
"287","P30492","reviewed",362
"288","P30493","reviewed",362
"289","Q29940","reviewed",362
"290","Q29836","reviewed",362
"291","P30498","reviewed",362
"292","Q31610","reviewed",362
"293","P30504","reviewed",366
"294","Q29963","reviewed",366
"295","P10321","reviewed",366
"296","P30505","reviewed",366
"297","Q29960","reviewed",366
"298","Q13362","reviewed",524
"299","P30154","reviewed",601
"300","P63151","reviewed",447
"301","Q9Y2T4","reviewed",447
"302","P20039","reviewed",266
"303","P01911","reviewed",266
"304","Q9NRA8","reviewed",985
"305","Q8NAA4","reviewed",619
"306","Q8NF67","reviewed",263
"307","Q96IX9","reviewed",119
"308","Q9NPC4","reviewed",353
"309","Q15758","reviewed",541
"310","Q9BTE6","reviewed",412
"311","Q9NY61","reviewed",560
"312","Q6PCB6","reviewed",329
"313","Q96AK3","reviewed",386
"314","Q6JQN1","reviewed",1059
"315","Q709F0","reviewed",780
"316","Q9GZZ6","reviewed",450
"317","P30532","reviewed",468
"318","P36544","reviewed",502
"319","Q04844","reviewed",493
"320","O96019","reviewed",429
"321","Q9Y614","reviewed",415
"322","Q9NPJ3","reviewed",140
"323","P13798","reviewed",732
"324","Q9BYX7","reviewed",375
"325","P36896","reviewed",505
"326","O14672","reviewed",748
"327","P25100","reviewed",572
"328","Q9UKJ8","reviewed",722
"329","Q9P0K1","reviewed",906
"330","O75077","reviewed",832
"331","Q9UKQ2","reviewed",775
"332","Q9UKF5","reviewed",820
"333","P18089","reviewed",447
"334","P18825","reviewed",462
"335","Q8NCV1","reviewed",583
"336","Q9BUB4","reviewed",502
"337","Q7Z695","reviewed",626
"338","O15204","reviewed",470
"339","Q9BRR6","reviewed",497
"340","P22570","reviewed",491
"341","Q5I7T1","reviewed",473
"342","Q96P47","reviewed",875
"343","P52594","reviewed",562
"344","Q9HCK5","reviewed",861
"345","Q8IWK6","reviewed",1321
"346","A9YTQ3","reviewed",701
"347","O95433","reviewed",338
"348","P55008","reviewed",147
"349","Q9Y4K1","reviewed",1723
"350","P51857","reviewed",326
"351","O43572","reviewed",662
"352","Q92667","reviewed",903
"353","Q5JQC9","reviewed",854
"354","P24588","reviewed",427
"355","O43823","reviewed",692
"356","Q495B1","reviewed",522
"357","P31751","reviewed",481
"358","Q96B36","reviewed",256
"359","Q96Q35","reviewed",445
"360","P20292","reviewed",161
"361","P08173","reviewed",479
"362","Q8TDX5","reviewed",336
"363","Q8WXI4","reviewed",607
"364","O14561","reviewed",156
"365","Q08AH3","reviewed",577
"366","Q9NR19","reviewed",701
"367","Q9UKU0","reviewed",697
"368","Q08AH1","reviewed",577
"369","Q6NUN0","reviewed",579
"370","Q562R1","reviewed",376
"371","Q01718","reviewed",297
"372","Q9H568","reviewed",366
"373","P35609","reviewed",894
"374","Q8TDG2","reviewed",376
"375","P61163","reviewed",376
"376","Q8NER5","reviewed",493
"377","Q04771","reviewed",509
"378","Q03154","reviewed",408
"379","P45381","reviewed",313
"380","P78536","reviewed",824
"381","P35348","reviewed",466
"382","Q9BZ11","reviewed",813
"383","O75689","reviewed",374
"384","P40394","reviewed",386
"385","C9J202","reviewed",215
"386","Q8TF27","reviewed",550
"387","O95394","reviewed",542
"388","Q86SQ6","reviewed",560
"389","O60242","reviewed",1522
"390","Q9BY15","reviewed",652
"391","Q5T601","reviewed",910
"392","Q86Y34","reviewed",549
"393","Q9HAR2","reviewed",1447
"394","O00253","reviewed",132
"395","Q8N157","reviewed",1196
"396","Q9GZX7","reviewed",198
"397","Q9NVV5","reviewed",245
"398","Q9NWT8","reviewed",199
"399","Q7Z591","reviewed",1439
"400","Q8TD30","reviewed",523
"401","Q9Y672","reviewed",507
"402","Q9H6U8","reviewed",611
"403","Q9Y312","reviewed",384
"404","P00505","reviewed",430
"405","Q9HC16","reviewed",384
"406","Q96J66","reviewed",1382
"407","O14678","reviewed",606
"408","Q8NE71","reviewed",845
"409","Q9Y235","reviewed",224
"410","Q8NFV4","reviewed",315
"411","Q9H3Z7","reviewed",469
"412","Q8N0Z2","reviewed",381
"413","Q9H845","reviewed",621
"414","P49748","reviewed",655
"415","P07108","reviewed",87
"416","O94805","reviewed",426
"417","Q9Y615","reviewed",435
"418","P08172","reviewed",466
"419","P20309","reviewed",590
"420","Q8WYK0","reviewed",555
"421","Q9NUZ1","reviewed",547
"422","Q96QF7","reviewed",691
"423","Q4L235","reviewed",1098
"424","O60488","reviewed",711
"425","Q53FZ2","reviewed",586
"426","P0C7M7","reviewed",580
"427","P12814","reviewed",892
"428","Q08043","reviewed",901
"429","P68133","reviewed",377
"430","P14621","reviewed",99
"431","Q8TC27","reviewed",787
"432","Q96M93","reviewed",576
"433","Q99965","reviewed",735
"434","Q13443","reviewed",819
"435","Q3LIE5","reviewed",342
"436","P06280","reviewed",429
"437","Q5VUJ5","reviewed",663
"438","Q8TD06","reviewed",166
"439","Q96PE1","reviewed",1338
"440","Q7Z7M1","reviewed",963
"441","Q14246","reviewed",886
"442","Q8IZF3","reviewed",695
"443","Q8IZF2","reviewed",1346
"444","Q9Y653","reviewed",693
"445","Q8IZP9","reviewed",1017
"446","Q8IZF6","reviewed",3080
"447","Q86SQ4","reviewed",1221
"448","Q9HBW9","reviewed",690
"449","Q09666","reviewed",5890
"450","Q719I0","reviewed",299
"451","P28566","reviewed",365
"452","P28223","reviewed",471
"453","P47898","reviewed",357
"454","Q9H0P0","reviewed",336
"455","P54619","reviewed",331
"456","Q9UGJ0","reviewed",569
"457","Q13685","reviewed",434
"458","Q9NUN7","reviewed",267
"459","P12821","reviewed",1306
"460","O00767","reviewed",359
"461","P49753","reviewed",483
"462","Q3I5F7","reviewed",207
"463","O14734","reviewed",319
"464","Q68CK6","reviewed",577
"465","P62736","reviewed",377
"466","P37023","reviewed",503
"467","Q96HD9","reviewed",319
"468","P07311","reviewed",99
"469","P35368","reviewed",520
"470","O43506","reviewed",726
"471","Q9NPF8","reviewed",381
"472","O00116","reviewed",658
"473","Q7Z6V5","reviewed",191
"474","Q08828","reviewed",1119
"475","P07327","reviewed",375
"476","P08588","reviewed",477
"477","P05141","reviewed",298
"478","P12236","reviewed",298
"479","Q9H0C2","reviewed",315
"480","Q6ZN18","reviewed",517
"481","P55197","reviewed",1068
"482","Q8N4X5","reviewed",818
"483","P43652","reviewed",599
"484","P51816","reviewed",1311
"485","Q6ULP2","reviewed",937
"486","A6NIR3","reviewed",686
"487","O95081","reviewed",481
"488","Q8N302","reviewed",714
"489","Q9H0P7","reviewed",198
"490","Q9H9G7","reviewed",860
"491","O60241","reviewed",1585
"492","P63267","reviewed",376
"493","Q8TDY3","reviewed",377
"494","O43184","reviewed",909
"495","Q13444","reviewed",863
"496","Q9H013","reviewed",955
"497","P08913","reviewed",450
"498","Q6DHV7","reviewed",355
"499","Q9H2U9","reviewed",754
"500","P78325","reviewed",824
"501","A8MUL3","reviewed",147
"502","Q8NFM4","reviewed",1077
"503","O60503","reviewed",1353
"504","P35611","reviewed",737
"505","P00325","reviewed",375
"506","P00326","reviewed",375
"507","P08319","reviewed",380
"508","Q15848","reviewed",244
"509","P55263","reviewed",362
"510","Q86V24","reviewed",386
"511","P13945","reviewed",408
"512","P12235","reviewed",298
"513","Q96IZ2","reviewed",230
"514","Q8TED9","reviewed",768
"515","Q9UHB7","reviewed",1163
"516","Q9Y4W6","reviewed",797
"517","Q5BKT4","reviewed",473
"518","Q53H12","reviewed",422
"519","Q6QNK2","reviewed",874
"520","Q9UHX3","reviewed",823
"521","Q96NN9","reviewed",605
"522","Q12904","reviewed",312
"523","Q13155","reviewed",320
"524","O43918","reviewed",545
"525","A6NHY2","reviewed",528
"526","Q9BV10","reviewed",488
"527","Q96QP1","reviewed",1244
"528","Q15699","reviewed",326
"529","Q9UHK6","reviewed",382
"530","Q99218","reviewed",206
"531","Q86WK7","reviewed",504
"532","Q9Y6Z5","reviewed",254
"533","P51825","reviewed",1210
"534","Q9UPQ3","reviewed",857
"535","Q5VTM2","reviewed",703
"536","O95994","reviewed",175
"537","Q16352","reviewed",499
"538","Q9NZN9","reviewed",384
"539","O00170","reviewed",330
"540","Q02040","reviewed",695
"541","P14550","reviewed",325
"542","Q9Y2D5","reviewed",859
"543","Q99996","reviewed",3911
"544","Q9ULX6","reviewed",646
"545","P31749","reviewed",480
"546","Q9Y243","reviewed",479
"547","P48448","reviewed",385
"548","P02768","reviewed",609
"549","Q6NS38","reviewed",261
"550","Q9NXW9","reviewed",302
"551","Q6ZNB7","reviewed",445
"552","Q9Y4X0","reviewed",333
"553","Q01433","reviewed",879
"554","Q9C0C7","reviewed",1298
"555","P19961","reviewed",511
"556","Q400G9","reviewed",498
"557","Q5CZ79","reviewed",823
"558","Q92688","reviewed",251
"559","O95626","reviewed",131
"560","Q9BTT0","reviewed",268
"561","P16860","reviewed",134
"562","P01160","reviewed",153
"563","O95841","reviewed",491
"564","Q9Y5C1","reviewed",460
"565","Q8NI99","reviewed",470
"566","Q9Y264","reviewed",503
"567","Q9NU02","reviewed",776
"568","Q8IWZ3","reviewed",2542
"569","Q8NFD2","reviewed",765
"570","A6NFN9","reviewed",424
"571","Q8IV38","reviewed",441
"572","Q9NQW6","reviewed",1124
"573","Q8N7Z5","reviewed",1873
"574","P12429","reviewed",323
"575","P08133","reviewed",673
"576","P10314","reviewed",365
"577","P30453","reviewed",365
"578","P30457","reviewed",365
"579","P01891","reviewed",365
"580","P30459","reviewed",365
"581","P01889","reviewed",362
"582","P30461","reviewed",362
"583","P30464","reviewed",362
"584","P03989","reviewed",362
"585","P18463","reviewed",362
"586","Q95365","reviewed",362
"587","Q04826","reviewed",362
"588","P30483","reviewed",362
"589","P30487","reviewed",362
"590","P30490","reviewed",362
"591","P30491","reviewed",362
"592","Q9TNN7","reviewed",366
"593","P30508","reviewed",366
"594","Q95604","reviewed",372
"595","Q16537","reviewed",467
"596","P01912","reviewed",266
"597","P13760","reviewed",266
"598","Q29974","reviewed",266
"599","P14060","reviewed",373
"600","P02763","reviewed",201
"601","A0PJZ0","reviewed",165
"602","U3KPV4","reviewed",340
"603","P05067","reviewed",770
"604","P30542","reviewed",326
"605","P29274","reviewed",412
"606","P29275","reviewed",332
"607","Q9NS82","reviewed",523
"608","Q8N5Z0","reviewed",425
"609","Q13131","reviewed",559
"610","Q6P461","reviewed",480
"611","O43707","reviewed",911
"612","Q9BYD9","reviewed",372
"613","Q9UKF2","reviewed",790
"614","Q6NVV9","reviewed",412
"615","Q96EY9","reviewed",351
"616","P00813","reviewed",363
"617","C9JUS6","reviewed",153
"618","P07550","reviewed",413
"619","Q16186","reviewed",407
"620","Q8WTP8","reviewed",325
"621","Q96A54","reviewed",375
"622","P10109","reviewed",184
"623","Q6UXC1","reviewed",1216
"624","Q08117","reviewed",197
"625","Q5VW22","reviewed",663
"626","Q8IZF5","reviewed",1079
"627","O00468","reviewed",2067
"628","O95490","reviewed",1459
"629","Q9NZD4","reviewed",102
"630","O95831","reviewed",613
"631","P24298","reviewed",496
"632","P09972","reviewed",364
"633","P15121","reviewed",316
"634","Q9NP73","reviewed",1137
"635","Q9H553","reviewed",416
"636","Q96BT7","reviewed",664
"637","Q8N6M5","reviewed",410
"638","Q8IY63","reviewed",956
"639","Q9H4A4","reviewed",650
"640","Q01432","reviewed",767
"641","Q86W34","reviewed",360
"642","Q8IVF6","reviewed",992
"643","Q69YU3","reviewed",496
"644","Q5JPF3","reviewed",1778
"645","Q96K21","reviewed",471
"646","Q9UNK9","reviewed",670
"647","Q9UKU9","reviewed",493
"648","Q9BY76","reviewed",406
"649","Q92527","reviewed",254
"650","Q5VUY0","reviewed",350
"651","P40145","reviewed",1251
"652","Q8N7X0","reviewed",1667
"653","Q5T7M4","reviewed",302
"654","Q15847","reviewed",76
"655","Q9NRN7","reviewed",309
"656","Q8IUX7","reviewed",1158
"657","P55196","reviewed",1824
"658","A8MT82","reviewed",671
"659","Q9UL18","reviewed",857
"660","Q9UKV8","reviewed",859
"661","Q8IZF4","reviewed",528
"662","Q96K78","reviewed",797
"663","O94910","reviewed",1474
"664","P35869","reviewed",848
"665","O60218","reviewed",316
"666","P52895","reviewed",323
"667","Q9UKA4","reviewed",1901
"668","Q02952","reviewed",1782
"669","O43687","reviewed",104
"670","P0CW23","reviewed",69
"671","Q2TAA5","reviewed",492
"672","Q6GMV1","reviewed",187
"673","Q9BT22","reviewed",464
"674","Q96L96","reviewed",1907
"675","P35858","reviewed",605
"676","Q9NP70","reviewed",447
"677","P19021","reviewed",973
"678","Q99217","reviewed",191
"679","Q9Y2J4","reviewed",779
"680","Q4VCS5","reviewed",1084
"681","Q5VTE6","reviewed",544
"682","O43827","reviewed",346
"683","P16157","reviewed",1881
"684","Q8N957","reviewed",763
"685","Q9HCJ1","reviewed",492
"686","Q15327","reviewed",319
"687","Q9H8Y5","reviewed",726
"688","P55345","reviewed",433
"689","Q9NW15","reviewed",660
"690","O75179","reviewed",2603
"691","Q9UPS8","reviewed",1709
"692","Q96NW4","reviewed",1050
"693","Q7Z3H0","reviewed",272
"694","A6NGH8","reviewed",418
"695","P01008","reviewed",464
"696","P58335","reviewed",489
"697","P27216","reviewed",316
"698","P09525","reviewed",319
"699","P20073","reviewed",488
"700","P19801","reviewed",751
"701","Q16853","reviewed",763
"702","O43747","reviewed",822
"703","Q9BXS5","reviewed",423
"704","Q92754","reviewed",450
"705","Q96LR9","reviewed",279
"706","Q9HDC9","reviewed",416
"707","P06727","reviewed",396
"708","Q6Q788","reviewed",366
"709","Q9BPW4","reviewed",351
"710","Q9BWW8","reviewed",343
"711","O43315","reviewed",295
"712","Q7LC44","reviewed",396
"713","P62330","reviewed",175
"714","Q9NP61","reviewed",516
"715","P53367","reviewed",373
"716","Q13795","reviewed",201
"717","Q5SW96","reviewed",308
"718","Q8N7S6","reviewed",290
"719","Q14865","reviewed",1188
"720","Q9Y4B4","reviewed",1467
"721","Q8NHP1","reviewed",331
"722","P36404","reviewed",184
"723","Q96KC2","reviewed",179
"724","Q9H0F7","reviewed",186
"725","Q9NVJ2","reviewed",186
"726","Q6T311","reviewed",187
"727","Q6P1M9","reviewed",558
"728","Q99767","reviewed",749
"729","Q92870","reviewed",758
"730","Q9NYG5","reviewed",84
"731","P02655","reviewed",101
"732","Q13794","reviewed",54
"733","Q13520","reviewed",282
"734","Q6NSI1","reviewed",321
"735","Q15041","reviewed",203
"736","P10398","reviewed",606
"737","O15143","reviewed",372
"738","P61204","reviewed",181
"739","Q8N6H7","reviewed",521
"740","Q8N1W1","reviewed",1705
"741","Q9NWB6","reviewed",273
"742","Q9NXU5","reviewed",204
"743","P56559","reviewed",192
"744","Q96BM9","reviewed",186
"745","Q96C12","reviewed",935
"746","Q8IUR7","reviewed",673
"747","Q7Z3E5","reviewed",817
"748","P0C6C1","reviewed",535
"749","Q8N2N9","reviewed",1353
"750","P54802","reviewed",743
"751","Q9UJX6","reviewed",822
"752","P03950","reviewed",147
"753","Q86XS5","reviewed",388
"754","Q15389","reviewed",498
"755","Q01484","reviewed",3957
"756","Q7Z5J8","reviewed",1434
"757","Q9GZV1","reviewed",360
"758","Q6P2P2","reviewed",845
"759","Q6UB98","reviewed",2062
"760","Q86SG2","reviewed",305
"761","Q9UJ72","reviewed",324
"762","Q63HQ0","reviewed",302
"763","Q9Y587","reviewed",144
"764","Q8NCL9","reviewed",501
"765","P35414","reviewed",380
"766","Q06481","reviewed",763
"767","Q53RT3","reviewed",343
"768","Q8IXF9","reviewed",295
"769","Q8WZ64","reviewed",1704
"770","P84077","reviewed",181
"771","P18085","reviewed",180
"772","P84085","reviewed",180
"773","Q8N6T3","reviewed",406
"774","P53365","reviewed",341
"775","Q8N726","reviewed",132
"776","A5YM69","reviewed",484
"777","Q8TER5","reviewed",1519
"778","Q92974","reviewed",986
"779","Q8NFD5","reviewed",2236
"780","Q8IVW6","reviewed",561
"781","P36405","reviewed",182
"782","A6NH57","reviewed",179
"783","Q9BXJ7","reviewed",453
"784","P28838","reviewed",519
"785","P15144","reviewed",967
"786","Q6Q4G3","reviewed",990
"787","Q86YJ7","reviewed",626
"788","Q9BXX2","reviewed",1392
"789","Q9NQ90","reviewed",1003
"790","Q32M45","reviewed",955
"791","Q6IWH7","reviewed",933
"792","Q6P6B7","reviewed",361
"793","E5RJM6","reviewed",399
"794","P04083","reviewed",346
"795","P08758","reviewed",320
"796","O75106","reviewed",756
"797","P21397","reviewed",527
"798","O75843","reviewed",785
"799","P61966","reviewed",158
"800","Q6VUC0","reviewed",442
"801","P53680","reviewed",142
"802","O14617","reviewed",1153
"803","Q9H1A4","reviewed",1944
"804","P27695","reviewed",318
"805","P02647","reviewed",267
"806","Q0VD83","reviewed",1088
"807","P02654","reviewed",83
"808","P02656","reviewed",99
"809","O14791","reviewed",398
"810","Q92482","reviewed",292
"811","O14520","reviewed",342
"812","O60306","reviewed",1485
"813","Q66PJ3","reviewed",421
"814","Q8WWN8","reviewed",1544
"815","Q9UKB5","reviewed",411
"816","Q96IF1","reviewed",538
"817","Q96JD6","reviewed",320
"818","Q9NQ31","reviewed",210
"819","P00352","reviewed",501
"820","O94788","reviewed",518
"821","P49189","reviewed",494
"822","P84996","reviewed",626
"823","O95076","reviewed",343
"824","P02760","reviewed",352
"825","Q8N7J2","reviewed",671
"826","Q6ZTN6","reviewed",518
"827","P39687","reviewed",249
"828","O15123","reviewed",496
"829","Q9Y2G4","reviewed",727
"830","Q9P2S6","reviewed",941
"831","O60678","reviewed",531
"832","Q9BYT9","reviewed",981
"833","Q9NXR5","reviewed",420
"834","Q6UB99","reviewed",2663
"835","Q8TF21","reviewed",1146
"836","Q8N8A2","reviewed",993
"837","Q9ULJ7","reviewed",1429
"838","Q6NXT1","reviewed",300
"839","Q8N8V4","reviewed",417
"840","P50995","reviewed",505
"841","P56377","reviewed",157
"842","Q96CW1","reviewed",435
"843","Q13367","reviewed",1082
"844","O00189","reviewed",453
"845","Q9UJX3","reviewed",599
"846","Q9UBZ4","reviewed",518
"847","Q96BI3","reviewed",265
"848","P02749","reviewed",345
"849","O95445","reviewed",188
"850","P29972","reviewed",269
"851","A8MVX0","reviewed",844
"852","Q9HCE6","reviewed",1279
"853","P05089","reviewed",322
"854","P78540","reviewed",354
"855","Q86TW2","reviewed",530
"856","P28332","reviewed",368
"857","P11766","reviewed",374
"858","Q0VDE8","reviewed",80
"859","Q9Y2D8","reviewed",614
"860","Q7Z4H4","reviewed",148
"861","P35318","reviewed",185
"862","P54922","reviewed",357
"863","Q9Y6U3","reviewed",715
"864","Q96SZ5","reviewed",270
"865","P42568","reviewed",568
"866","Q8N556","reviewed",730
"867","P51826","reviewed",1226
"868","Q9H9L7","reviewed",192
"869","Q5T1N1","reviewed",836
"870","Q8N8R7","reviewed",260
"871","P47895","reviewed",512
"872","P30837","reviewed",517
