Call:,,,,
lm(formula = log(topMotifSum) ~ Length),,,,
Residuals:,,,,
Min,1Q,Median,3Q,Max
A8MT66,165,1,-0.21889558,
A8MT69,81,1,-0.181213991,
A8MTB9,384,1,-0.317136866,
A8MTL0,148,1,-0.211269545,
A8MUP6,293,1,-0.276315145,
A8MW99,385,1,-0.317585457,
A8MWA4,302,1,-0.280352458,
A8MWP6,167,1,-0.219792761,
A8MXK1,200,1,-0.234596243,
A8MXK9,166,1,-0.219344171,
A8MXV4,375,1,-0.313099553,
B1AL46,878,4,0.847553864,
B1APH4,448,1,-0.345846648,
B2RU33,542,1,-0.388014141,
B7U540,433,1,-0.339117793,
B7ZBB8,358,1,-0.305473517,
C9J3V5,150,1,-0.212166725,
C9JC47,383,1,-0.316688276,
C9JG80,1138,1,-0.655373987,
D6REC4,459,3,0.747831146,
D6RGH6,385,1,-0.317585457,
E5RG02,174,1,-0.222932894,
E5RHQ5,1161,1,-0.665691565,
E9PGG2,379,1,-0.314893915,
E9PJ23,425,1,-0.33552907,
E9PQR5,432,1,-0.338669203,
F2Z3F1,127,1,-0.201849147,
F5GYI3,381,1,-0.315791095,
F8W1W9,429,1,-0.337323432,
H0YKK7,550,14,2.247454466,
H3BNL1,204,1,-0.236390604,
I3L3R5,266,2,0.428943975,
M5A8F1,160,1,-0.216652629,
O00116,658,1,-0.440050621,
O00194,218,1,-0.242670869,
O00220,468,1,-0.354818455,
O00391,747,1,-0.479975162,
O00445,386,1,-0.318034047,
O00512,1426,2,-0.091420826,
O00548,723,1,-0.469208994,
O14558,160,1,-0.216652629,
O14561,156,1,-0.214858267,
O14645,258,2,0.432532698,
O14649,394,4,1.064671591,
O14662,325,1,-0.290670036,
O14756,317,1,-0.287081313,
O14813,284,1,-0.272277832,
O14817,238,1,-0.251642676,
O14836,293,1,-0.276315145,
O14948,347,2,0.392608157,
O14966,203,1,-0.235942014,
O15063,1070,3,0.473742445,
O15156,539,1,-0.38666837,
O15212,129,1,-0.202746328,
O15240,615,2,0.272385944,
O15244,555,1,-0.393845815,
O15372,352,1,-0.302781975,
O15382,392,2,0.372421592,
O15442,326,1,-0.291118626,
O15498,198,1,-0.233699062,
O15523,660,2,0.252199379,
O15547,441,1,-0.342706516,
O43252,624,4,0.961495812,
O43255,324,1,-0.290221446,
O43294,461,3,0.746933966,
O43304,696,1,-0.457097054,
O43316,350,1,-0.301884794,
O43320,207,1,-0.237736375,
O43414,337,1,-0.29605312,
O43448,404,3,0.772503615,
O43502,376,1,-0.313548143,
O43521,198,1,-0.233699062,
O43570,354,1,-0.303679156,
O43613,425,1,-0.33552907,
O43670,478,1,-0.359304359,
O43688,288,1,-0.274072193,
O43699,453,2,0.34505758,
O43734,574,1,-0.402369032,
O43745,196,1,-0.232801881,
O43752,255,1,-0.259268712,
O43818,475,1,-0.357958588,
O43869,369,1,-0.310408011,
O43916,411,1,-0.329248806,
O60216,631,1,-0.427938682,
O60291,552,1,-0.392500044,
O60294,686,1,-0.452611151,
O60337,910,1,-0.553095388,
O60361,137,1,-0.206335051,
O60487,215,1,-0.241325098,
O60496,412,2,0.363449785,
O60499,249,1,-0.25657717,
O60504,671,1,-0.445882296,
O60563,726,1,-0.470554765,
O60664,434,2,0.353580797,
O60669,478,1,-0.359304359,
O60671,282,2,0.42176653,
O60711,386,1,-0.318034047,
O60806,448,1,-0.345846648,
O60826,627,1,-0.42614432,
O75030,526,1,-0.380836695,
O75064,1496,1,-0.815969331,
O75072,461,1,-0.351678323,
O75157,780,2,0.198368537,
O75200,414,1,-0.330594577,
O75208,318,1,-0.287529903,
O75340,191,2,0.462588251,
O75346,499,3,0.729887533,
O75409,117,1,-0.197363244,
O75425,235,1,-0.250296905,
O75426,580,1,-0.405060574,
O75438,58,2,0.522250767,
O75460,977,3,0.515461347,
O75525,346,1,-0.300090433,
O75553,588,2,0.284497884,
O75556,95,1,-0.187494256,
O75558,287,2,0.419523578,
O75618,318,1,-0.287529903,
O75688,479,1,-0.359752949,
O75752,331,1,-0.293361578,
O75783,438,1,-0.341360745,
O75792,299,2,0.414140494,
O75808,1086,1,-0.632047289,
O75817,140,1,-0.207680822,
O75871,244,1,-0.254334218,
O75908,522,1,-0.379042334,
O76081,388,1,-0.318931228,
O76090,585,1,-0.407303526,
O94760,285,1,-0.272726422,
O94763,535,1,-0.384874009,
O94778,261,1,-0.261960254,
O94782,785,1,-0.497021595,
O94818,638,3,0.667533474,
O94819,623,1,-0.424349959,
O95072,547,1,-0.390257093,
O95076,343,1,-0.298744662,
O95196,566,1,-0.398780309,
O95198,593,2,0.282254932,
O95201,554,1,-0.393397225,
O95222,327,1,-0.291567217,
O95249,250,2,0.436121421,
O95295,136,2,0.48726072,
O95460,622,1,-0.423901369,
O95479,791,3,0.598899152,
O95486,1093,3,0.463424867,
O95571,254,1,-0.258820121,
O95707,220,1,-0.24356805,
O95822,493,1,-0.366033214,
O95859,305,1,-0.281698229,
O95861,308,2,0.410103181,
O95872,356,1,-0.304576337,
O95897,454,1,-0.34853819,
O95907,504,1,-0.370967708,
O95925,133,1,-0.204540689,
O95990,144,2,0.483671997,
O95997,202,1,-0.235493423,
O96018,575,1,-0.402817622,
P00167,134,1,-0.20498928,
P00519,1130,1,-0.651785264,
P00746,253,1,-0.258371531,
P00750,562,1,-0.396985948,
P01011,423,1,-0.33463189,
P01185,164,1,-0.21844699,
P01189,267,1,-0.264651796,
P01210,267,1,-0.264651796,
P01562,189,1,-0.229661749,
P01614,121,1,-0.199157605,
P01909,254,1,-0.258820121,
P01911,266,1,-0.264203205,
P01912,266,1,-0.264203205,
P01920,261,3,0.836652035,
P02042,147,1,-0.210820954,
P02647,267,1,-0.264651796,
P02649,317,1,-0.287081313,
P02749,345,1,-0.299641843,
P02760,352,1,-0.302781975,
P02774,474,2,0.335637183,
P02794,183,1,-0.226970207,
P04003,597,1,-0.41268661,
P04070,461,1,-0.351678323,
P04083,346,1,-0.300090433,
P04090,185,1,-0.227867387,
P04196,525,1,-0.380388105,
P04229,266,3,0.834409083,
P04233,296,1,-0.277660916,
P04279,462,1,-0.352126913,
P04792,205,1,-0.236839194,
P04798,512,1,-0.374556431,
P05019,195,1,-0.232353291,
P05114,100,1,-0.189737208,
P05120,415,1,-0.331043167,
P05165,728,1,-0.471451945,
P05496,136,1,-0.20588646,
P06241,537,1,-0.385771189,
P06280,429,1,-0.337323432,
P06858,475,1,-0.357958588,
P06881,128,1,-0.202297738,
P07307,311,1,-0.284389771,
P07498,182,1,-0.226521616,
P07686,556,2,0.298852775,
P07988,381,1,-0.315791095,
P07992,297,1,-0.278109506,
P08246,267,1,-0.264651796,
P08476,426,3,0.762634628,
P08493,103,1,-0.191082979,
P08697,491,1,-0.365136033,
P08779,473,1,-0.357061407,
P08910,425,1,-0.33552907,
P09105,142,1,-0.208578003,
P09132,144,1,-0.209475183,
P09455,135,1,-0.20543787,
P09466,180,1,-0.225624436,
P09919,207,1,-0.237736375,
P0C025,328,1,-0.292015807,
P0C264,359,1,-0.305922108,
P0C629,311,1,-0.284389771,
P0C7A2,387,1,-0.318482637,
P0C7I6,412,1,-0.329697396,
P0C7M3,94,2,0.506101515,
P0C7P1,496,1,-0.367378985,
P0C7Q3,252,1,-0.257922941,
P0C7T3,313,1,-0.285286952,
P0C7U1,165,1,-0.21889558,
P0CAT3,122,1,-0.199606196,
P0CG29,244,1,-0.254334218,
P0CG30,244,1,-0.254334218,
P0CG32,403,1,-0.325660083,
P0CG42,384,1,-0.317136866,
P0CG43,387,1,-0.318482637,
P0CI25,452,1,-0.34764101,
P0CI26,452,1,-0.34764101,
P0CV98,308,1,-0.283044,
P0CV99,314,1,-0.285735542,
P0CW00,308,1,-0.283044,
P0CW01,314,1,-0.285735542,
P0CW23,69,1,-0.175830907,
P0DI81,140,1,-0.207680822,
P0DI82,140,1,-0.207680822,
P0DJD3,496,1,-0.367378985,
P0DJD4,496,1,-0.367378985,
P0DME0,302,1,-0.280352458,
P0DMM9,295,2,0.415934855,
P0DMN0,295,2,0.415934855,
P0DMW4,78,1,-0.17986822,
P0DMW5,78,1,-0.17986822,
P10073,491,2,0.328011147,
P10092,127,1,-0.201849147,
P10114,183,1,-0.226970207,
P10265,156,1,-0.214858267,
P10321,366,1,-0.30906224,
P10588,404,1,-0.326108673,
P10643,843,2,0.170107345,
P10768,282,1,-0.271380651,
P11150,499,1,-0.368724756,
P11166,492,1,-0.365584624,
P11465,335,1,-0.295155939,
P12272,177,1,-0.224278665,
P12643,396,2,0.37062723,
P12980,280,1,-0.27048347,
P13056,603,2,0.277769029,
P13349,255,2,0.433878469,
P13473,410,1,-0.328800215,
P13686,325,1,-0.290670036,
P13761,266,2,0.428943975,
P13762,266,2,0.428943975,
P13798,732,1,-0.473246307,
P13807,737,1,-0.475489258,
P13942,1736,1,-0.923631014,
P14091,401,1,-0.324762902,
P14136,432,4,1.047625158,
P14151,372,1,-0.311753782,
P14324,419,1,-0.332837528,
P14920,347,2,0.392608157,
P15018,202,1,-0.235493423,
P15121,316,4,1.099661638,
P15172,320,1,-0.288427084,
P15173,224,1,-0.245362411,
P15291,398,1,-0.323417131,
P15407,271,1,-0.266446157,
P15531,152,1,-0.213063906,
P15538,503,1,-0.370519117,
P15813,335,1,-0.295155939,
P16189,365,1,-0.30861365,
P16190,365,1,-0.30861365,
P17025,639,1,-0.431527405,
P17029,563,1,-0.397434538,
P17050,411,1,-0.329248806,
P17081,205,1,-0.236839194,
P17482,250,1,-0.25702576,
P17661,470,4,1.030578725,
P17752,444,1,-0.344052287,
P18085,180,2,0.467522745,
P18089,447,1,-0.345398058,
P18509,176,1,-0.223830074,
P18564,788,3,0.600244923,
P18627,525,1,-0.380388105,
P18825,462,1,-0.352126913,
P19099,503,1,-0.370519117,
P19235,508,1,-0.372762069,
P19256,250,1,-0.25702576,
P19387,275,2,0.424906662,
P19447,782,1,-0.495675824,
P19484,476,2,0.334740002,
P19526,365,1,-0.30861365,
P19793,462,1,-0.352126913,
P20039,266,1,-0.264203205,
P20248,432,1,-0.338669203,
P20339,215,1,-0.241325098,
P20718,246,1,-0.255231399,
P20800,178,1,-0.224727255,
P20809,199,1,-0.234147652,
P20827,205,1,-0.236839194,
P21281,511,1,-0.37410784,
P21462,350,1,-0.301884794,
P21695,349,1,-0.301436204,
P21728,446,1,-0.344949468,
P22352,226,1,-0.246259592,
P22392,152,1,-0.213063906,
P22888,699,1,-0.458442825,
P22897,1456,2,-0.104878537,
P23409,242,1,-0.253437037,
P24530,442,1,-0.343155106,
P25089,353,1,-0.303230566,
P25116,425,1,-0.33552907,
P25398,132,2,0.489055082,
P25874,307,1,-0.28259541,
P26010,798,1,-0.50285327,
P26022,381,1,-0.315791095,
P26572,445,2,0.348646303,
P26951,378,1,-0.314445324,
P27037,513,1,-0.375005021,
P27169,355,1,-0.304127746,
P27216,316,1,-0.286632723,
P27348,245,3,0.843829481,
P27469,103,1,-0.191082979,
P27540,789,2,0.194331224,
P28347,426,3,0.762634628,
P29120,753,1,-0.482666704,
P29279,349,1,-0.301436204,
P29373,138,1,-0.206783641,
P29376,864,2,0.160686948,
P29459,219,1,-0.243119459,
P29558,406,1,-0.327005854,
P30046,118,1,-0.197811834,
P30049,168,1,-0.220241352,
P30279,289,2,0.418626397,
P30486,362,1,-0.307267879,
P30501,366,1,-0.30906224,
P30520,456,1,-0.349435371,
P30711,240,1,-0.252539856,
P30837,517,1,-0.376799382,
P31350,389,1,-0.319379818,
P31371,208,1,-0.238184965,
P31785,369,1,-0.310408011,
P31937,336,1,-0.29560453,
P31946,246,1,-0.255231399,
P32189,559,2,0.297507004,
P32245,332,1,-0.293810168,
P33240,577,2,0.289432378,
P33764,101,1,-0.190185798,
P34910,448,1,-0.345846648,
P35212,333,2,0.398888422,
P35236,360,1,-0.306370698,
P35244,121,1,-0.199157605,
P35346,364,1,-0.308165059,
P35638,169,1,-0.220689942,
P35712,828,1,-0.51631098,
P35913,854,2,0.165172852,
P35914,325,1,-0.290670036,
P36406,574,1,-0.402369032,
P36873,323,1,-0.289772855,
P36956,1147,2,0.03373588,
P37059,387,1,-0.318482637,
P37802,199,2,0.458999528,
P37840,140,1,-0.207680822,
P38159,391,1,-0.320276999,
P39019,145,1,-0.209923774,
P40261,264,1,-0.263306025,
P40424,430,1,-0.337772022,
P40425,430,1,-0.337772022,
P40426,434,1,-0.339566384,
P40855,299,2,0.414140494,
P40933,162,1,-0.217549809,
P41134,155,1,-0.214409677,
P41146,370,1,-0.310856601,
P41273,254,2,0.434327059,
P42575,452,1,-0.34764101,
P42658,865,1,-0.532908823,
P42766,123,1,-0.200054786,
P42768,502,1,-0.370070527,
P42772,138,1,-0.206783641,
P42830,114,1,-0.196017473,
P43004,574,1,-0.402369032,
P43489,277,1,-0.269137699,
P46098,478,1,-0.359304359,
P46781,194,2,0.46124248,
P46952,286,2,0.419972168,
P47874,163,1,-0.2179984,
P47900,373,1,-0.312202372,
P47972,431,1,-0.338220613,
P48443,463,1,-0.352575504,
P48643,541,2,0.30558163,
P48723,471,2,0.336982954,
P48775,406,2,0.366141327,
P48788,182,3,0.872090672,
P49023,591,1,-0.409995068,
P49116,596,3,0.686374269,
P49221,684,2,0.24143321,
P49418,695,6,1.335111005,
P49419,539,2,0.306478811,
P49441,399,2,0.369281459,
P49716,269,1,-0.265548976,
P49748,655,1,-0.43870485,
P50221,254,1,-0.258820121,
P50222,304,1,-0.281249639,
P50225,295,2,0.415934855,
P50226,295,2,0.415934855,
P50416,773,1,-0.491638511,
P50454,418,1,-0.332388938,
P50461,194,1,-0.231904701,
P50607,506,2,0.321282292,
P50895,628,1,-0.426592911,
P50990,548,1,-0.390705683,
P51003,745,1,-0.479077981,
P51148,216,1,-0.241773688,
P51153,203,1,-0.235942014,
P51159,221,1,-0.24401664,
P51460,131,1,-0.203643509,
P51512,607,1,-0.417172513,
P51523,738,2,0.217209332,
P51570,392,1,-0.320725589,
P51648,485,1,-0.362444491,
P51649,535,1,-0.384874009,
P51674,278,1,-0.26958629,
P51693,650,4,0.949832463,
P51809,220,1,-0.24356805,
P51810,404,1,-0.326108673,
P51911,297,1,-0.278109506,
P51970,172,1,-0.222035713,
P53041,499,1,-0.368724756,
P53609,377,1,-0.313996734,
P53611,331,1,-0.293361578,
P53634,463,1,-0.352575504,
P53778,367,1,-0.30951083,
P54108,245,2,0.438364372,
P54284,484,2,0.33115128,
P54317,469,1,-0.355267046,
P54760,987,1,-0.587636845,
P54821,245,1,-0.254782808,
P54886,795,3,0.59710479,
P55040,296,1,-0.277660916,
P55042,308,1,-0.283044,
P55055,460,1,-0.351229733,
P55103,352,1,-0.302781975,
P55273,166,2,0.47380301,
P56277,68,1,-0.175382317,
P56279,114,1,-0.196017473,
P56537,245,1,-0.254782808,
P56539,151,1,-0.212615316,
P56747,220,1,-0.24356805,
P56748,225,1,-0.245811001,
P56749,244,1,-0.254334218,
P56750,224,1,-0.245362411,
P57086,179,1,-0.225175845,
P57727,454,1,-0.34853819,
P57768,344,2,0.393953928,
P58182,307,1,-0.28259541,
P58215,753,2,0.210480477,
P58335,489,1,-0.364238853,
P58340,268,1,-0.265100386,
P58557,167,1,-0.219792761,
P59091,139,1,-0.207232231,
P59773,190,2,0.463036841,
P59827,614,1,-0.420312646,
P59942,119,2,0.494886756,
P60033,236,1,-0.250745495,
P60059,68,2,0.517764864,
P60673,137,1,-0.206335051,
P60880,206,2,0.455859396,
P60953,191,1,-0.230558929,
P61006,207,1,-0.237736375,
P61020,215,1,-0.241325098,
P61073,352,1,-0.302781975,
P61158,418,2,0.360758243,
P61204,181,1,-0.226073026,
P61224,184,1,-0.227418797,
P61225,183,1,-0.226970207,
P61244,160,2,0.476494552,
P61278,116,1,-0.196914654,
P61296,217,1,-0.242222278,
P61981,247,1,-0.255679989,
P62244,130,2,0.489952262,
P62258,255,1,-0.259268712,
P62324,171,1,-0.221587123,
P62330,175,1,-0.223381484,
P62841,145,1,-0.209923774,
P62857,69,1,-0.175830907,
P62913,178,1,-0.224727255,
P62942,108,1,-0.193325931,
P63104,245,1,-0.254782808,
P63119,156,1,-0.214858267,
P63120,156,1,-0.214858267,
P63121,156,1,-0.214858267,
P63122,156,1,-0.214858267,
P63123,156,1,-0.214858267,
P63125,156,1,-0.214858267,
P63127,156,1,-0.214858267,
P63129,156,1,-0.214858267,
P63131,156,1,-0.214858267,
P68106,108,1,-0.193325931,
P68871,147,1,-0.210820954,
P69891,147,1,-0.210820954,
P69892,147,1,-0.210820954,
P80162,114,1,-0.196017473,
P80217,286,1,-0.273175012,
P83105,476,1,-0.358407178,
P84077,181,1,-0.226073026,
P84085,180,2,0.467522745,
P98153,550,2,0.301544317,
P98179,157,1,-0.215306858,
Q00839,825,2,0.178181972,
Q00987,491,2,0.328011147,
Q01064,536,2,0.307824582,
Q01105,290,1,-0.274969374,
Q01201,579,1,-0.404611984,
Q01362,244,2,0.438812963,
Q01534,308,1,-0.283044,
Q01658,176,2,0.469317106,
Q01726,317,1,-0.287081313,
Q01844,656,1,-0.43915344,
Q02383,582,2,0.287189426,
Q02535,119,1,-0.198260425,
Q02543,176,1,-0.223830074,
Q02575,133,1,-0.204540689,
Q02750,393,3,0.777438109,
Q04671,838,1,-0.520796883,
Q05066,204,1,-0.236390604,
Q05932,587,1,-0.408200707,
Q06520,285,1,-0.272726422,
Q06587,406,2,0.366141327,
Q06732,778,1,-0.493881463,
Q06830,199,1,-0.234147652,
Q06889,387,1,-0.318482637,
Q07092,1604,1,-0.864417088,
Q08E93,113,2,0.497578298,
Q08J23,767,2,0.204200212,
Q0D2K0,466,2,0.339225906,
Q0D2K5,195,1,-0.232353291,
Q0P670,501,2,0.323525244,
Q0P6D2,419,1,-0.332837528,
Q0PNE2,266,1,-0.264203205,
Q0VAM2,473,1,-0.357061407,
Q0VD83,1088,1,-0.63294447,
Q0VDI3,215,1,-0.241325098,
Q10589,180,1,-0.225624436,
Q12800,502,1,-0.370070527,
Q13105,803,1,-0.505096221,
Q13133,447,3,0.753214231,
Q13202,625,1,-0.42524714,
Q13296,93,1,-0.186597076,
Q13326,291,1,-0.275417964,
Q13336,389,1,-0.319379818,
Q13387,824,1,-0.514516619,
Q13404,147,1,-0.210820954,
Q13424,505,1,-0.371416298,
Q13426,336,1,-0.29560453,
Q13443,819,1,-0.512273667,
Q13491,265,1,-0.263754615,
Q13508,389,1,-0.319379818,
Q13530,473,1,-0.357061407,
Q13607,317,1,-0.287081313,
Q13610,501,2,0.323525244,
Q13882,451,1,-0.347192419,
Q14019,142,1,-0.208578003,
Q14050,684,1,-0.45171397,
Q14153,422,1,-0.334183299,
Q14168,576,3,0.695346076,
Q14181,598,1,-0.4131352,
Q14197,206,2,0.455859396,
Q14247,550,1,-0.391602864,
Q14318,412,1,-0.329697396,
Q14353,236,1,-0.250745495,
Q14376,348,1,-0.300987614,
Q14409,553,2,0.300198546,
Q14410,553,1,-0.392948635,
Q14500,433,1,-0.339117793,
Q14641,139,1,-0.207232231,
Q14749,295,1,-0.277212325,
Q14956,572,1,-0.401471851,
Q14CB8,494,2,0.326665376,
Q15006,297,3,0.820502783,
Q15007,396,1,-0.32251995,
Q15054,466,2,0.339225906,
Q15070,435,1,-0.340014974,
Q15181,289,1,-0.274520783,
Q15286,201,1,-0.235044833,
Q15399,786,2,0.195676995,
Q15415,496,1,-0.367378985,
Q15434,407,1,-0.327454444,
Q15485,313,1,-0.285286952,
Q15506,151,1,-0.212615316,
Q15561,434,3,0.759045905,
Q15569,626,1,-0.42569573,
Q15583,401,1,-0.324762902,
Q15628,312,2,0.408308819,
Q15629,374,1,-0.312650963,
Q15699,326,1,-0.291118626,
Q15714,1073,2,0.066931566,
Q15744,281,1,-0.270932061,
Q15777,294,1,-0.276763735,
Q15819,145,1,-0.209923774,
Q15828,149,1,-0.211718135,
Q15833,593,1,-0.410892249,
Q15929,161,1,-0.217101219,
Q15935,545,1,-0.389359912,
Q16082,182,1,-0.226521616,
Q16186,407,1,-0.327454444,
Q16352,499,1,-0.368724756,
Q16401,504,4,1.015326653,
Q16537,467,1,-0.354369865,
Q16549,785,2,0.196125586,
Q16555,572,2,0.291675329,
Q16647,500,2,0.323973834,
Q16671,573,1,-0.401920442,
Q16690,384,1,-0.317136866,
Q16719,465,2,0.339674496,
Q16769,361,1,-0.306819288,
Q16798,604,1,-0.415826742,
Q16829,419,1,-0.332837528,
Q16890,204,1,-0.236390604,
Q17R55,369,1,-0.310408011,
Q17R60,797,1,-0.502404679,
Q18PE1,504,1,-0.370967708,
Q1A5X6,159,1,-0.216204038,
Q1MX18,579,1,-0.404611984,
Q1RMZ1,405,2,0.366589917,
Q1ZYL8,232,1,-0.248951134,
Q29974,266,1,-0.264203205,
Q29983,383,2,0.376458905,
Q2I0M4,334,1,-0.294707349,
Q2M3D2,409,1,-0.328351625,
Q2NL98,169,1,-0.220689942,
Q2TB18,679,2,0.243676162,
Q2WGJ8,235,1,-0.250296905,
Q2WGN9,574,1,-0.402369032,
Q30134,266,1,-0.264203205,
Q30154,266,2,0.428943975,
Q30167,266,1,-0.264203205,
Q30201,348,1,-0.300987614,
Q31610,362,1,-0.307267879,
Q3B7I2,92,1,-0.186148485,
Q3C1V9,767,2,0.204200212,
Q3KRB8,267,1,-0.264651796,
Q496A3,300,1,-0.279455277,
Q496Y0,759,1,-0.485358246,
Q499Y3,187,1,-0.228764568,
Q49AM3,519,1,-0.377696563,
Q4G0G5,96,1,-0.187942847,
Q4G0M1,354,1,-0.303679156,
Q4G0T1,1027,1,-0.605580459,
Q4VC12,460,1,-0.351229733,
Q53ET0,693,1,-0.455751283,
Q53FE4,359,1,-0.305922108,
Q53GG5,364,1,-0.308165059,
Q53H54,448,1,-0.345846648,
Q56P42,97,1,-0.188391437,
Q587J8,217,1,-0.242222278,
Q58FG1,418,2,0.360758243,
Q58HT5,328,1,-0.292015807,
Q58WW2,860,2,0.16248131,
Q5BKU9,147,1,-0.210820954,
Q5BLP8,95,1,-0.187494256,
Q5BVD1,217,1,-0.242222278,
Q5FWE3,981,1,-0.584945303,
Q5GAN6,216,2,0.451373492,
Q5HYK7,790,1,-0.499264547,
Q5HYR2,192,1,-0.23100752,
Q5IJ48,1285,2,-0.028169588,
Q5JQS6,135,2,0.48770931,
Q5JTB6,97,1,-0.188391437,
Q5JTC6,1135,1,-0.654028216,
Q5JTZ9,985,2,0.106407516,
Q5JVG8,444,1,-0.344052287,
Q5MNZ9,446,1,-0.344949468,
Q5PT55,438,2,0.351786436,
Q5R372,815,2,0.182667875,
Q5SQ13,230,2,0.445093228,
Q5SQH8,315,1,-0.286184132,
Q5SY13,56,1,-0.169999233,
Q5T0J7,233,2,0.443747457,
Q5T215,181,1,-0.226073026,
Q5T4H9,136,1,-0.20588646,
Q5T5D7,378,1,-0.314445324,
Q5T653,305,1,-0.281698229,
Q5T6C5,722,3,0.629851885,
Q5T6X4,162,1,-0.217549809,
Q5T749,579,1,-0.404611984,
Q5TBC7,163,1,-0.2179984,
Q5TC12,328,2,0.401131374,
Q5TEZ5,329,2,0.400682783,
Q5TZ20,316,1,-0.286632723,
Q5U3C3,297,1,-0.278109506,
Q5VSP4,162,1,-0.217549809,
Q5VT03,806,4,0.879852369,
Q5VU13,414,1,-0.330594577,
Q5VU57,503,2,0.322628063,
Q5VU69,101,1,-0.190185798,
Q5VV63,1379,2,-0.07033708,
Q5VVW2,1013,2,0.093846987,
Q5VW00,463,1,-0.352575504,
Q5VWM4,474,3,0.741102291,
Q5VWP3,458,2,0.342814629,
Q5VWX1,349,2,0.391710976,
Q5VXH5,474,3,0.741102291,
Q5VXT5,272,1,-0.266894748,
Q5VXU1,208,1,-0.238184965,
Q5VZ03,156,1,-0.214858267,
Q5VZ46,1190,1,-0.678700685,
Q5W0V3,765,2,0.205097392,
Q5W0Z9,365,1,-0.30861365,
Q5W111,196,1,-0.232801881,
Q5W5X9,447,2,0.347749122,
Q5XUX0,539,1,-0.38666837,
Q5Y7A7,266,1,-0.264203205,
Q63HM9,321,2,0.404271506,
Q658L1,398,2,0.369730049,
Q658P3,488,1,-0.363790262,
Q68DY1,528,1,-0.381733876,
Q68G75,181,1,-0.226073026,
Q695T7,634,1,-0.429284453,
Q69YL0,99,2,0.503858563,
Q6B0I6,523,1,-0.379490924,
Q6BAA4,426,1,-0.335977661,
Q6IA17,410,1,-0.328800215,
Q6ICB4,259,1,-0.261063073,
Q6ICG6,404,1,-0.326108673,
Q6IF63,320,1,-0.288427084,
Q6IMI4,303,1,-0.280801048,
Q6J9G0,422,1,-0.334183299,
Q6L8Q7,609,2,0.275077486,
Q6N063,350,3,0.796727494,
Q6NT32,575,1,-0.402817622,
Q6NUI6,762,3,0.611908272,
Q6NUM9,610,1,-0.418518284,
Q6NUN9,644,1,-0.433770356,
Q6NXE6,501,3,0.728990352,
Q6NY19,840,2,0.171453116,
Q6P0A1,224,1,-0.245362411,
Q6P1L5,589,1,-0.409097887,
Q6P1Q9,378,3,0.784166964,
Q6P1R4,473,1,-0.357061407,
Q6P3W2,148,1,-0.211269545,
Q6P6B1,374,2,0.380496218,
Q6P9H5,292,2,0.417280626,
Q6PCB0,445,1,-0.344500877,
Q6PCD5,774,1,-0.492087101,
Q6PEV8,388,1,-0.318931228,
Q6PF04,617,3,0.676953872,
Q6PK18,319,1,-0.287978494,
Q6PKC3,985,3,0.511872624,
