Entry	Cross-reference (eggNOG)
A6NM43	KOG0362;ENOG410XPXR;
Q96SF2	KOG0362;ENOG410XPXR;
Q8NHU6	ENOG410IPR1;ENOG410XST4;
Q9UIK5	ENOG410IP0A;ENOG4110TEU;
Q9BXF9	KOG2685;ENOG410XSCN;
Q96M29	KOG2685;ENOG410XSCN;
Q9UKZ4	KOG4659;ENOG410XQQD;
Q9NT68	KOG1225;KOG4659;ENOG410XQQD;
Q9P273	KOG4659;ENOG410XQQD;
Q68CZ2	KOG1930;KOG2283;COG2453;
O14746	KOG1005;ENOG410XQJH;
Q96S53	ENOG410IF1S;COG0515;
Q9Y6M0	KOG3627;COG5640;
Q9UGI8	ENOG410INGJ;ENOG410XQU0;
Q8IYF3	KOG4814;ENOG410XQC2;
A0A1B0GTD5	
Q9UNN4	ENOG410IPCE;ENOG410Y126;
O95379	ENOG410IEG9;ENOG4111KN4;
P0C1Z6	ENOG410IY8E;ENOG4111UBX;
P22735	ENOG410IFMV;ENOG410XQEZ;
P21980	ENOG410IFMV;ENOG410XQEZ;
Q9P2Z0	ENOG410IX5Q;ENOG410Z0YS;
Q8WTV1	ENOG410IRYI;ENOG410Y1BK;
Q8TBB0	ENOG410IVN3;ENOG410YUA1;
Q9H5L6	ENOG410IF8P;ENOG410Z518;
Q8WUY1	KOG4366;ENOG4111RKY;
Q9BWD1	KOG1391;COG0183;
P42765	KOG1391;COG0183;
Q96J01	KOG1407;ENOG410XPZJ;
P31483	KOG0148;ENOG410XQ8U;
Q9NPL8	KOG4608;ENOG4111F79;
O15164	ENOG410KDQG;COG5076;
Q13263	ENOG410ITES;ENOG41102KI;
P49788	ENOG410IJZ8;ENOG4111K9R;
Q4W5G0	KOG3105;ENOG4110CDI;
Q17RP2	KOG3105;ENOG4110CDI;
O43615	KOG2580;ENOG410Y5IK;
Q96H15	ENOG410IYS0;ENOG4111VB0;
P01033	KOG4745;ENOG41103NU;
Q86UU9	ENOG410J2QI;ENOG41113ZV;
Q04725	KOG0639;ENOG410XPX3;
O43294	KOG1703;ENOG410XRD4;
Q9GZN2	KOG0773;ENOG410XPMQ;
O43548	ENOG410IFMV;ENOG410XQEZ;
H3BV60	ENOG410KGYR;ENOG4110RU2;
Q9H0W7	ENOG410IKCR;ENOG41122AW;
Q8NA92	ENOG410J6A3;ENOG4111Z0Y;
P10828	KOG3575;ENOG410XRZC;
Q8N1K5	
Q96FV9	KOG2491;ENOG410XQEX;
O60830	
Q5SRD1	KOG3324;COG5596;
O95411	ENOG410KCAK;ENOG4110P5V;
Q13009	ENOG410ITS1;ENOG410XPCM;
Q08629	KOG3555;ENOG410Y6A8;
Q7Z2Z1	ENOG410IFG8;ENOG410Y8R6;
Q53EQ6	ENOG410IMJI;ENOG4111PP6;
O14925	KOG3324;COG5596;
Q9BSF4	KOG4545;ENOG4111K8C;
Q9Y5J9	KOG3489;ENOG41126D5;
P16035	KOG4745;ENOG41103NU;
P35625	KOG4745;ENOG41103NU;
O75663	KOG3224;ENOG410XT96;
P58753	ENOG410IVIY;ENOG411205V;
Q07352	KOG1677;COG5063;
P0CAT3	
Q9NV29	ENOG410IY9U;ENOG410YJ77;
Q8N9M5	KOG3963;ENOG410XNRJ;
Q96I45	ENOG410J0CX;ENOG4111TIE;
Q8N616	
Q9Y6G1	KOG4267;ENOG4112205;
Q8N614	ENOG410IPSV;ENOG41116BG;
Q5U3C3	ENOG410IHH4;ENOG4111FTI;
A6NGA9	ENOG410IY98;ENOG4111BI8;
A6NML5	ENOG410IWY4;ENOG410YJC5;
Q68D42	ENOG410IEYB;ENOG4111KYX;
Q8N7C4	ENOG410IX9G;ENOG410YZ2V;
Q9H0R3	KOG3150;ENOG4111G1S;
C9JQI7	ENOG410IG5N;ENOG4111R3E;
C9JI98	ENOG410J41J;ENOG410YPH6;
Q24JQ0	ENOG410KC4N;ENOG4111FMQ;
Q5VVB8	ENOG410J003;ENOG410YMZT;
P0C7T8	ENOG410IS6R;ENOG410Z6FW;
Q8TBM7	ENOG410J214;ENOG4111TUV;
P61165	KOG4452;ENOG4111TZ7;
Q86T03	KOG4684;ENOG410XSVD;
Q9NUR3	ENOG410IW2S;ENOG4111X0T;
Q96K49	KOG2568;ENOG410XS1Q;
Q7Z6W1	ENOG410JA7Q;ENOG4111526;
Q8WW62	KOG3287;ENOG410Z18S;
Q9Y3B3	KOG1693;ENOG4111JPD;
Q9BZD6	ENOG410IMYY;ENOG410YJW1;
Q6UXZ0	ENOG410IJG7;ENOG41129HZ;
P0DMS9	ENOG410KDMS;ENOG410XRW9;
Q86YD3	ENOG410IF2Y;ENOG410ZNWF;
Q9HBJ8	ENOG410IHHW;ENOG4111IUN;
Q2T9K0	ENOG410IJKG;ENOG4111HX3;
Q9NW97	ENOG410IJTH;ENOG4111TGG;
Q969K7	ENOG410IK7W;ENOG4111SCR;
Q6PEY1	ENOG410IZIZ;ENOG41121G3;
A6NDV4	ENOG410IHJ3;ENOG4111FA8;
Q06643	ENOG410IJP9;ENOG410ZHBF;
P41273	ENOG410J4ZC;ENOG4111EDT;
Q9H2K2	KOG4177;COG0666;
P11387	KOG0981;COG3569;
Q5JU69	KOG2170;ENOG410XR06;
C9J3V5	ENOG410JDVQ;ENOG4111CF8;
Q5JUR7	ENOG410ITSK;COG3571;
Q5T0J7	ENOG410IZ1Y;ENOG411197W;
A0A1B0GUV7	
Q8N6V9	ENOG410IGT0;ENOG41102ZI;
P52655	ENOG410IPCF;ENOG4111M8K;
Q9NQB0	KOG3248;ENOG41109RU;
Q01664	KOG0561;ENOG4111JPE;
P19532	KOG1318;ENOG410ZYYV;
Q07654	ENOG410J0FX;ENOG41114KR;
P13726	ENOG410IYA1;ENOG4111MW4;
Q03167	ENOG410IK7K;ENOG410XSMK;
O95455	KOG0747;COG1088;
P01135	ENOG410IVW5;ENOG4111Z4I;
Q9NVV9	ENOG410IGDI;ENOG4111FGC;
Q9NWX6	KOG2721;COG4021;
Q86YJ6	KOG2616;COG0498;
Q86V81	KOG0533;ENOG4111JAW;
Q86W42	KOG0649;ENOG410XTCD;
P52888	KOG2089;COG0339;
P00734	ENOG410IKPN;COG5640;
Q92748	ENOG410J34G;ENOG410YT7Q;
Q6ZMP0	KOG3538;KOG4597;ENOG41102GD;
Q9BU02	ENOG410J0T6;ENOG4111XGF;
Q16762	KOG1529;COG2897;
Q9BVV7	KOG4836;ENOG4111NW7;
Q9UJW2	KOG1544;ENOG410YN9K;
Q8WZ42	KOG0613;ENOG410XQFD;
Q9UKI8	KOG1151;ENOG410Y3FX;
O60603	KOG4641;COG4886;
Q9NR97	KOG4641;COG4886;
O43711	KOG0488;ENOG411188D;
Q8NE00	KOG3832;ENOG410XP37;
Q6UX40	ENOG410IX7Q;ENOG4112136;
Q9BVC6	ENOG410IIBB;ENOG410XXDM;
Q6ZRR5	KOG4474;ENOG410Z5I9;
Q9NPI0	ENOG410IW1C;ENOG4111KQC;
Q96AN5	ENOG410IJB5;ENOG41105JD;
Q7Z5S9	ENOG410IHKE;ENOG410XRUY;
Q6UXP3	KOG4267;ENOG4112205;
Q6P9G4	ENOG410J2D6;ENOG410Z5HS;
Q96HH4	ENOG410IH3Z;ENOG4110340;
Q8WVE6	ENOG410IJCA;ENOG410YJ6S;
Q8WUU8	ENOG410IR9J;ENOG410YMC9;
Q9P2C4	ENOG410IFUP;ENOG410ZN8U;
A5PLL7	
Q8IY95	ENOG410IGAC;ENOG4111V8N;
Q5HYL7	ENOG410IK3M;ENOG4111I12;
Q66K66	ENOG410IGI3;ENOG4110N65;
Q8N511	ENOG410IX23;ENOG4111IQS;
Q6UW68	KOG2886;ENOG4111HFX;
Q9H813	ENOG410IGZU;ENOG410XTG6;
Q6ICI0	KOG4026;ENOG410XSUB;
A2RU14	ENOG410J07M;ENOG4112157;
A6NGB7	ENOG410IXCQ;ENOG4111KH9;
Q9H6L2	
Q96Q45	ENOG410IHCQ;ENOG41124J8;
Q5SV17	ENOG410II5J;ENOG4110ENY;
Q9NWH2	ENOG410IVW9;ENOG4111SBW;
Q9H330	KOG2365;ENOG410XRXR;
Q8N6I4	ENOG410IVYY;ENOG4111FFW;
A0A087WTH1	
Q8NCS4	ENOG410IZ7J;ENOG4111NZD;
Q5BJD5	KOG3140;COG0398;
Q8N4L2	KOG4684;ENOG410XSVD;
Q99805	KOG1278;ENOG410XPIW;
Q9Y2S6	ENOG410JP6Z;ENOG410ZJ3Y;
Q8TDI7	ENOG410IF2J;ENOG410XTGF;
Q7Z404	ENOG410IIGT;ENOG410Y7QP;
A8MYB1	
P82094	ENOG410IGA0;ENOG410YE9Z;
Q96MV1	KOG4561;ENOG410XPW0;
Q6PI78	KOG4619;ENOG4111UFU;
Q5SWH9	ENOG410IW9X;ENOG410XW1Y;
Q5T7P6	
A0PJX8	ENOG410IHBQ;ENOG4111FKU;
A2RUT3	ENOG410IYCM;ENOG4111CPB;
Q8N816	ENOG410KC5K;ENOG411131T;
P28289	KOG3735;ENOG410YAHM;
Q5T4D3	ENOG410IQRH;ENOG410XP5Q;
O95150	ENOG410IFSK;ENOG4111Y6F;
P23510	ENOG410J0GG;ENOG41119SD;
Q6ICL3	KOG2342;COG3332;
Q13470	KOG0199;ENOG410XPRC;
Q92973	KOG2023;ENOG410XPK2;
Q9Y5U5	ENOG410J0PX;ENOG410YX1D;
P20333	ENOG410IJ06;ENOG410YPQW;
O75509	ENOG410IHQ6;ENOG410YYKW;
P36941	ENOG410IKNN;ENOG410YQJW;
P25942	ENOG410IY0H;ENOG4112DB5;
Q9HCJ0	ENOG410IFAU;ENOG41110AX;
Q63HR2	KOG1930;KOG2283;ENOG410YFRV;
Q8NFQ8	ENOG410IJUB;ENOG4111IZJ;
Q96EI5	ENOG410KDY0;ENOG4111ECD;
Q9UHQ7	ENOG410JE7S;ENOG4111BVC;
Q8IUC6	ENOG410IJUV;ENOG410Y8DE;
Q86XR7	KOG1693;ENOG4111JPD;
O75764	KOG1105;COG1594;
Q9UGU0	ENOG410IPTF;ENOG410ZTQQ;
P56279	ENOG410JEFE;ENOG4111B9D;
P17987	KOG0360;COG0459;
Q9H147	KOG4801;ENOG410XPIX;
Q5VZ19	ENOG410IKPU;ENOG4111FQ7;
O60522	KOG2039;ENOG4110W7C;
Q3Y452	
Q86YL5	ENOG410IW2Q;ENOG4111T3Z;
Q8N8B7	KOG1105;COG1594;
Q969V4	KOG2685;ENOG410XSCN;
P24821	KOG1225;KOG2579;ENOG410ZYS4;
Q92752	KOG1225;KOG2579;ENOG410ZYS4;
Q8IZW8	ENOG410IUIK;ENOG41125SH;
Q14188	KOG2829;ENOG410Y9QP;
P48307	KOG4295;ENOG410XQNP;
P49221	ENOG410IFMV;ENOG410XQEZ;
Q9BXR0	KOG3908;COG0343;
Q96EK4	ENOG410IFX3;ENOG4111FSQ;
P24557	
P10827	KOG3575;ENOG410XRZC;
P0DJG4	ENOG410IWC5;ENOG4111HMP;
Q9P2T0	ENOG410IYC3;ENOG4111S9N;
Q8IYQ7	KOG2616;COG0498;COG0703;
Q13769	KOG2216;ENOG410YCE5;
Q8IVF5	ENOG410ITS1;ENOG410XPCM;
Q9BQ16	KOG3555;ENOG410Y6A8;
Q6ZNK6	ENOG410IYRT;ENOG410YZ4Y;
Q6B0B8	KOG3105;ENOG4110CDI;
Q8IY51	KOG3105;ENOG4110CDI;
A6NFA1	ENOG410IF3M;ENOG410ZH8D;
Q86X45	KOG0531;COG4886;
P62072	KOG3480;ENOG4112539;
Q96EM0	ENOG410IIC6;COG3938;
Q8TC07	KOG2197;COG5210;
Q8N5T2	ENOG410IEUD;ENOG410XRPM;
Q8IYX1	KOG2197;COG5210;
A6NDS4	KOG1102;COG5210;
A6NER0	KOG1102;COG5210;
A0A087WXS9	KOG1102;COG5210;
Q0IIM8	KOG4347;COG5210;
Q9Y4P3	KOG2096;COG2319;
O60806	KOG3585;ENOG410XSTS;
Q9Y458	KOG3586;ENOG410Y98J;
Q13207	KOG3585;ENOG410XSTS;
P57082	KOG3585;ENOG410XSTS;
Q8N3R3	ENOG410IIUQ;ENOG410XQCT;
Q969E4	ENOG410JBBY;ENOG41113V2;
Q8IYN2	ENOG410JBTZ;ENOG4111DNR;
O95988	ENOG410JEJH;ENOG41114XX;
P20061	ENOG410IVBN;ENOG410XSU1;
P20062	ENOG410IDZK;ENOG410XSU1;
P53999	KOG2712;ENOG410XUB8;
Q5QJE6	KOG3100;ENOG410Z9Q4;
B5MCY1	KOG2039;COG1525;
Q15561	KOG3841;ENOG410XQMP;
Q15185	KOG3158;ENOG41121RT;
Q9NZ01	KOG1639;ENOG410XR2S;
Q6NUS6	ENOG410IFR0;ENOG4111GX2;
O75443	KOG1216;KOG4291;ENOG410YR2E;
Q5T9Z0	ENOG410IIK0;ENOG410Y9GB;
Q86WV5	ENOG410J0UU;ENOG4111Y0A;
Q9HBL0	KOG1930;KOG2283;COG2453;
P22105	KOG2579;ENOG410ZYS4;
O15482	KOG3850;ENOG410Y9KV;
O43247	ENOG410IJF8;ENOG410Y5BD;
Q96LM6	ENOG410J9TU;ENOG411193C;
Q6ZYL4	KOG3451;ENOG41121VZ;
Q8IUE0	KOG0773;ENOG410XPMQ;
Q92664	KOG1721;COG5048;
Q9Y5Q9	KOG2076;ENOG410XNW8;
Q9Y5Q8	KOG2473;ENOG4111DXH;
Q04206	ENOG410IG8F;ENOG410XT64;
Q14186	KOG2829;ENOG410Y9QP;
Q5H9I0	KOG2829;ENOG410Y9QP;
P15923	KOG3910;ENOG410XYUA;
P10646	KOG4295;ENOG410XQNP;
P25325	KOG1529;COG2897;
P01266	ENOG410IG6K;COG2272;
Q96DA6	KOG0723;COG2214;
Q3ZCQ8	KOG2832;COG5190;
Q9H0I9	KOG0523;COG0021;
Q96CP7	KOG4474;ENOG410Z5I9;
Q6P9B6	KOG2557;ENOG410XR8F;
Q9UL52	KOG3627;COG5640;
Q5BJH2	ENOG410IXAQ;ENOG4111NF2;
Q8WZ71	ENOG410IXR9;ENOG410YHSY;
Q6ZP80	ENOG410IQ09;ENOG4111FRX;
Q14656	ENOG410II78;ENOG4111FSS;
Q8WZ59	ENOG410JA3V;ENOG4111ATV;
O75674	KOG1087;ENOG410Y26G;
Q969S6	ENOG410IY4R;ENOG4111SGD;
A2RRL7	ENOG410J39B;ENOG411196J;
B4DJY2	ENOG410J0SI;ENOG410YZUX;
A6NFC5	ENOG410J07W;ENOG410YPVG;
Q9BRR3	ENOG410IF9Z;ENOG4111M4Y;
Q2WGJ8	ENOG410IJR3;ENOG41125U2;
Q8N6L7	ENOG410IZEX;ENOG410Y4VR;
Q8N2U0	KOG3472;ENOG41125SJ;
E9PQX1	ENOG410J0QJ;ENOG41113EK;
Q0VDI3	ENOG410IFA3;ENOG41101MS;
Q9NV64	KOG3828;ENOG410XQMI;
Q96HV5	KOG3140;COG0398;
Q8TDI8	ENOG410IF2J;ENOG410XTGF;
O94876	KOG3850;ENOG410Y9KV;
Q96DC7	ENOG410IE0G;ENOG41126GB;
Q13445	KOG3287;ENOG410Z18S;
Q9Y3Q3	KOG1693;ENOG4111JPD;
Q6PL24	KOG3878;ENOG410XS5V;
P49755	KOG1691;ENOG410XTBQ;
Q9P0T7	KOG4007;ENOG4111KV2;
Q6ZUK4	KOG4610;ENOG410XS6J;
Q5JXX7	ENOG410JCVU;ENOG4111CGC;
Q8WWA1	ENOG410IZFT;ENOG411181C;
Q9NRS4	KOG3627;COG5640;
Q9BYE2	KOG3627;COG5640;
O95407	ENOG410IH0F;ENOG410YF4X;
P36897	KOG2052;ENOG410XQT0;
Q96PF1	ENOG410IFMV;ENOG410XQEZ;
O43493	ENOG410IXPE;ENOG410XUUR;
Q9Y4F4	KOG2933;ENOG410XSBP;
Q6ZUX3	KOG2933;ENOG410XSBP;
Q96RS0	KOG2730;ENOG410XRUD;
Q6YHU6	KOG1810;COG5543;
Q8WY91	KOG3371;ENOG4111TBC;
P05543	KOG2392;COG4826;
Q5T1C6	KOG4781;ENOG4111ZF6;
P09110	KOG1389;COG0183;
Q8NI27	KOG1874;ENOG410XQ2A;
Q9NXG2	KOG3943;COG1818;
P04216	ENOG410IVXA;ENOG410YYC2;
Q01085	KOG0148;ENOG410XQ8U;
Q92563	KOG3555;ENOG410Y6A8;
Q9Y5J7	KOG3479;ENOG4111TUA;
Q9UNS1	KOG1974;ENOG410XQM6;
Q3LXA3	KOG2426;COG2376;
A6NGC4	KOG4474;ENOG410Z5I9;
O60602	KOG4641;COG4886;
Q9NYK1	KOG4641;COG4886;
Q6UXF1	ENOG410IEMG;ENOG410YCMK;
Q6PF06	KOG2967;ENOG4111JE4;
Q9H0C3	ENOG410IFTG;ENOG410Z7KD;
Q4V9L6	ENOG410IVJ5;ENOG410YT3F;
Q86T26	KOG3627;COG5640;
O60235	KOG3627;COG5640;
Q6ZWK6	KOG3627;COG5640;
Q9BTD3	ENOG410IIB7;ENOG4110M45;
Q96AQ2	ENOG410IZE5;ENOG4111SNN;
O75204	ENOG410IJHY;ENOG410XW58;
A0AVI4	KOG3899;ENOG410XT2B;
Q92545	KOG3620;ENOG410Z7NH;
Q86UB9	KOG1398;ENOG410YP91;
A8MWL7	KOG4267;ENOG4112205;
Q9BSA9	ENOG410IIWE;ENOG410ZP3B;
Q53S58	ENOG410IGW5;ENOG4111JNC;
Q9BSN7	ENOG410IEHK;ENOG410XRFW;
Q9BTX3	KOG3269;ENOG4111RF3;
Q96SK2	KOG4670;ENOG410XQWI;
Q6NUQ4	KOG4467;ENOG410ZR2A;
Q86XT9	ENOG410IWEC;ENOG4110155;
Q8WY98	KOG4831;ENOG4111XD9;
Q9BU79	ENOG410IXDK;ENOG4111KX7;
H0YL14	KOG2655;COG5019;
A0A1B0GVZ9	
Q6UE05	ENOG410IW1Q;ENOG4111CPR;
Q9BRN9	ENOG410IU6Z;ENOG4111HJK;
Q53FP2	ENOG410IGYA;ENOG4111K2N;
Q9BZW4	ENOG410IJ78;ENOG41113JR;
Q9NS93	ENOG410IH4P;ENOG41117R0;
Q5TEJ8	ENOG410IF5X;ENOG4110SKT;
Q6I9Y2	KOG3215;ENOG4111K36;
Q9BTF0	ENOG410IVBE;COG0116;
Q9Y6L7	KOG3714;ENOG410ZPX7;
Q9Y4G6	KOG4261;ENOG410XQ0V;
Q96IK0	ENOG410IG43;ENOG410XR0V;
Q8N8V8	ENOG410JINB;ENOG4111CWS;
Q8TBZ6	KOG2967;ENOG4111JE4;
Q8NCL8	ENOG410IUMT;ENOG4111IGA;
Q6ZMR5	KOG3627;COG5640;
Q9NV12	ENOG410IWZ5;ENOG41119TG;
Q8NBT3	KOG4290;ENOG410XRGS;
Q9NUH8	KOG4267;ENOG4112205;
Q9P0S9	KOG4267;ENOG4112205;
Q4W5P6	ENOG410J3YM;ENOG4111C2E;
Q9NX00	ENOG410J0AT;ENOG4111VX5;
Q8TC26	ENOG410IE9N;ENOG410Z7QG;
Q9H0V1	ENOG410IF3C;ENOG410Y9XB;
Q6ZVM7	KOG1087;ENOG410Y26G;
Q5SNT2	KOG4623;ENOG41123RR;
Q6QAJ8	ENOG410IVXU;ENOG4111VVR;
A0PJW6	ENOG410IWJD;ENOG4111M6M;
Q6GV28	ENOG410J3QB;ENOG4111BGY;
Q96B21	ENOG410IG9I;ENOG410ZTA1;
O95807	KOG3393;ENOG410YCSG;
Q8N661	KOG4804;ENOG410ZQJ5;
Q7Z7H5	KOG1690;ENOG410XPUW;
O14669	ENOG410J02V;ENOG4111S2Z;
Q9BZD7	ENOG410IK6Z;ENOG4111M35;
Q9NVH6	KOG3889;COG2175;
Q6P2H8	KOG2521;ENOG4111184;
Q8N0U2	ENOG410J123;ENOG411197F;
Q96MH6	KOG4321;COG0204;
Q9BUB7	KOG4478;ENOG4111HEE;
Q8N9X5	ENOG410KCGF;ENOG4110NZT;
Q9BSE2	ENOG410IE7M;ENOG4111NK6;
Q3KNT9	ENOG410JAZG;ENOG410YVPW;
Q8IU80	KOG3627;COG5640;
Q86WS5	KOG3627;COG5640;
Q8IUR5	KOG1124;COG0457;
Q9BVT8	ENOG410IG1T;ENOG4111WH7;
Q9Y320	KOG0914;ENOG410XVTA;
Q96JJ7	KOG4277;COG0526;
Q9Y275	ENOG410IHQ4;ENOG4111XFQ;
O43557	ENOG410IVET;ENOG41124FT;
Q9UNG2	ENOG410J65W;ENOG41117Z4;
Q59H18	ENOG410IT5N;COG0666;
Q9UKE5	KOG0587;ENOG410XPHR;
Q96KP6	ENOG410IGHG;ENOG410YIE3;
P19237	KOG3977;ENOG410Y9IX;
P48788	KOG3977;ENOG410Y9IX;
O95271	KOG4177;COG0666;
P45378	KOG3634;ENOG410XS6A;
O14787	KOG2023;ENOG410XPK2;
Q9NP84	ENOG410IYHX;ENOG41116AK;
Q02223	ENOG410IW7R;ENOG4111D91;
P19438	ENOG410IXBX;ENOG4111YG2;
Q9UPQ9	ENOG410IET2;ENOG410YDKH;
Q14106	KOG4006;ENOG410ZZC0;
Q15785	KOG1124;COG0457;
Q8N9V7	ENOG410IGNR;ENOG4111I5N;
Q8N2E6	KOG2170;ENOG410XR06;
Q96CG3	ENOG410IYNH;ENOG4111T8W;
Q96MW7	KOG3105;ENOG4110CDI;
Q6NT04	KOG3105;ENOG4110CDI;
Q495A1	ENOG410JBCH;ENOG4111CNN;
O60220	KOG3489;ENOG41126D5;
Q96A98	ENOG410J15Z;ENOG410Y2YH;
Q9UK28	ENOG410IF0S;ENOG410Y2GG;
Q96EY4	ENOG410IWA7;ENOG4111K76;
Q5TGY1	KOG2385;ENOG410YB1Z;
Q9BVK6	KOG1690;ENOG410XPUW;
Q8TAF8	KOG4026;ENOG410XSUB;
P17152	ENOG410IGFW;ENOG410Z9AV;
P57088	KOG4002;ENOG4111BM3;
Q9BXS4	ENOG410IIST;ENOG410XTCW;
Q6YI46	KOG3140;COG0398;
Q12767	KOG4383;ENOG410XQVD;
Q9Y2Y6	ENOG410IIT4;ENOG410ZMUV;
Q6ZT21	ENOG410IFRM;COG1408;
O15393	KOG3627;COG5640;
Q9H3S3	KOG3627;COG5640;
Q9H1E5	KOG0913;ENOG4111H66;
P32971	ENOG410IHE9;ENOG4111CQK;
Q92956	ENOG410IX15;ENOG410ZEC2;
P25445	ENOG410J23A;ENOG4112ADB;
Q07011	ENOG410IW3N;ENOG41129F9;
Q8N6T0	ENOG410IGZ1;ENOG410YW9Q;
Q8N4H5	
Q8WZ04	KOG1663;COG4122;
O95985	KOG1956;COG0550;
Q9NS56	KOG4430;ENOG410XQZR;
Q9H497	KOG2170;ENOG410XR06;
Q96NM4	
O94900	KOG0381;COG5648;
Q86W33	KOG4536;ENOG410XRXY;
Q8N7U7	ENOG410IUWB;ENOG4110PTD;
Q9BX59	ENOG410IF63;ENOG4111SQB;
Q6XPS3	KOG2283;COG2453;
O14763	ENOG410IZX0;ENOG4111ZZM;
Q9Y5M6	ENOG410IT2E;ENOG4110PZI;
P20366	ENOG410IWZZ;ENOG4112BW1;
Q9UHF0	ENOG410J2QH;ENOG4111D7S;
P51854	KOG0523;COG0021;
P29401	KOG0523;COG0021;
A0PJX2	KOG2372;COG5142;
Q9H808	KOG0639;ENOG410XPX3;
O43897	KOG3714;ENOG410ZPX7;
O15455	KOG4641;COG4886;
Q9Y2C9	KOG4641;COG4886;
A6NEH6	ENOG410J4VW;ENOG41113DE;
Q9NWD8	ENOG410IKT0;ENOG4110155;
Q8WUH6	ENOG410IXK4;ENOG4111SH7;
Q5VZI3	ENOG410IH54;ENOG4110XDR;
Q9BX73	KOG4272;ENOG4111HBB;
Q9H6F2	KOG3944;ENOG410XQ0P;
Q9NVV0	KOG3944;ENOG410XQ0P;
Q969M1	KOG3296;ENOG410XS2U;
Q9NWC5	ENOG410IG9I;ENOG410ZTA1;
Q4KMG9	ENOG410IEQA;ENOG410YQ2H;
Q7Z5M5	ENOG410IF2J;ENOG410XTGF;
Q8N6Q1	ENOG410IFCD;ENOG411142W;
Q6UXY8	ENOG410IH09;ENOG410XR0Y;
Q7Z403	ENOG410IH09;ENOG410XR0Y;
Q9UM00	KOG3312;ENOG410XR8B;
Q15363	KOG1692;ENOG410XQCK;
Q9Y3A6	KOG3287;ENOG410Z18S;
Q9Y2B1	ENOG410IFPG;ENOG410YH22;
Q8NDY8	ENOG410IZ8N;ENOG4111TVN;
Q9NZQ9	KOG3735;ENOG410YAHM;
Q8N394	ENOG410IQRH;ENOG410XP5Q;
Q71RG4	ENOG410IG1T;ENOG4111WH7;
Q03169	KOG2286;COG5173;
P21580	ENOG410IQZK;ENOG41117NJ;
Q13472	KOG1956;COG0550;
O14657	KOG2170;ENOG410XR06;
Q9NXH8	KOG2170;ENOG410XR06;
P0DI82	KOG3487;COG5603;
P09493	
P67936	
Q17RH7	ENOG410KCMV;ENOG4110NTW;
